instance,family,scale,cadical_par2_ms,cadical_timeouts,kissat_par2_ms,kissat_timeouts,lkk_4a_sealed_par2_ms,lkk_4a_sealed_timeouts,lkk_4c_indexed_par2_ms,lkk_4c_indexed_timeouts,speedup_4c_over_4a,speedup_4c_over_cadical,speedup_4c_over_kissat,structural_result,fallback_used,sealed_structural_result,newly_structural
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,152.387856,0,69.03737433333333,0,36.447788333333335,0,20.221846,0,1.8023966918417507,7.535803407859006,3.413999608805909,UNSAT,False,UNSAT,False
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,6390.038134666666,1,518.8484933333333,0,101.56164366666667,0,51.067036,0,1.9887906489553586,125.13039007524671,10.160145055869961,UNSAT,False,UNSAT,False
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,234.82612433333335,0,150.68888833333335,0,34.825589,0,15.587906,0,2.2341415838663643,15.0646356433849,9.667038557541556,UNSAT,False,UNSAT,False
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,10000.0,3,10000.0,3,10000.0,3,18.823675333333334,0,531.2458817376543,531.2458817376543,531.2458817376543,UNSAT,False,,False
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,503.4346266666667,0,151.49015233333333,0,821.474955,0,36.167251666666665,0,22.71322583676181,13.919626277012755,4.1886000553631595,UNSAT,False,UNKNOWN,True
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,3747.688961,0,368.204424,0,4335.751998666667,0,34.811498,0,124.54942325856436,107.65664152114338,10.577092200973368,UNSAT,False,UNKNOWN,True
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,1171.6315336666667,0,285.6607113333333,0,268.54714866666666,0,117.74218266666666,0,2.280806611398869,9.950822272282887,2.426154372745505,UNSAT,False,UNSAT,False
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,1657.9604573333334,0,251.96617,0,387.38182366666666,0,118.605895,0,3.266126221354062,13.978735688755886,2.1243983699123894,UNSAT,False,UNSAT,False
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,435.24561133333333,0,151.03704366666668,0,67.49566233333333,0,34.608547333333334,0,1.950259907855903,12.576246183962917,4.364154386832494,UNSAT,False,UNSAT,False
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,468.84004833333336,0,134.27443666666667,0,468.94416133333334,0,35.59623633333333,0,13.173981567658059,13.171056735970094,3.7721526346010985,UNSAT,False,UNKNOWN,True
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,117.50781466666666,0,18.567741666666667,0,67.39547366666666,0,268.01348333333334,0,0.25146299666888644,0.43843993669721465,0.06927913266055209,UNKNOWN,True,UNKNOWN,False
012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,83.931367,0,100.54008233333333,0,67.35821266666666,0,67.33013933333334,0,1.0004169504713831,1.2465645820882454,1.4932403724220225,UNKNOWN,True,UNKNOWN,False
013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,870.8703286666666,0,1072.4536369999998,0,804.2193060000001,0,770.927336,0,1.0431843164009948,1.1296399647536517,1.3911215583098742,UNKNOWN,True,UNKNOWN,False
014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,971.0907163333333,0,185.346147,0,955.6192626666666,0,972.4557149999999,0,0.9826866642114049,0.9985963384803938,0.19059597690780192,UNKNOWN,True,UNKNOWN,False
