set,instance,family,scale,variant,seed,solver,runtime_ms,status,timed_out,par2_ms,structural_result,fallback_used,fallback_engine,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,conflicts,decisions,propagations,peak_rss_kb,raw_log
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,lkk_cadical,35.445987,UNSATISFIABLE,False,35.445987,UNSAT,False,cadical,0,0,0,0,2.51696,0.097256,0.144399,10.4971,0.014195,3.06437,-1,-1,-1,4072,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_001__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_cadical__seed3.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,lkk_cadical,66.807389,UNSATISFIABLE,False,66.807389,UNSAT,False,cadical,0,0,0,0,2.52186,0.111191,0.238712,46.0574,0.023235,5.01929,-1,-1,-1,4300,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_cadical__seed1.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,lkk_kissat,67.403054,UNSATISFIABLE,False,67.403054,UNSAT,False,kissat,0,0,0,0,2.52645,0.136247,0.288559,47.9523,0.022646,3.76982,-1,-1,-1,4188,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_kissat__seed1.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,lkk_none,67.385281,UNSATISFIABLE,False,67.385281,UNSAT,False,none,0,0,0,0,2.6765,0.123918,0.242865,48.1041,0.022128,4.6723,-1,-1,-1,4400,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_none__seed1.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,cadical,4433.454269,UNSATISFIABLE,False,4433.454269,,,cadical,,,,,,,,,,,20,377336,3541195,7748,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__cadical__seed1.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,kissat,469.457936,UNSATISFIABLE,False,469.457936,,,kissat,,,,,,,,,,,30284,45848,895524,3120,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__kissat__seed1.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,lkk_kissat,117.968125,UNSATISFIABLE,False,117.968125,UNSAT,False,kissat,0,0,0,0,2.44992,0.11346,0.26104,59.8314,0.025218,6.54061,-1,-1,-1,4264,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_kissat__seed2.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,lkk_none,66.642744,UNSATISFIABLE,False,66.642744,UNSAT,False,none,0,0,0,0,1.85413,0.131057,0.209202,47.0425,0.022533,5.51167,-1,-1,-1,4252,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_none__seed2.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,cadical,4131.080223,UNSATISFIABLE,False,4131.080223,,,cadical,,,,,,,,,,,24,399324,3686368,7540,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__cadical__seed2.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,kissat,467.593479,UNSATISFIABLE,False,467.593479,,,kissat,,,,,,,,,,,33371,49462,974886,3124,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__kissat__seed2.log
