set,instance,family,scale,seed,solver,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,runtime_ms,structural_result,fallback_used,peak_rss_kb
accepted14,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,1,lkk_none,2.48404,0.229445,0.348834,27.0783,0,0,0,0,0,0,66.752258,UNKNOWN,True,4428
accepted14,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,1,lkk_cadical,,,,,,,,,,,5038.040132,,,1728
accepted14,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,1,lkk_kissat,,,,,,,,,,,5036.377105,,,1652
accepted14,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,2,lkk_cadical,,,,,,,,,,,5036.265025,,,1760
accepted14,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,2,lkk_kissat,,,,,,,,,,,5036.585575,,,1660
accepted14,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,2,lkk_none,3.19875,0.245255,0.475056,33.2189,0,0,0,0,0,0,67.975323,UNKNOWN,True,4416
accepted14,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,3,lkk_cadical,,,,,,,,,,,5037.74524,,,1668
accepted14,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,3,lkk_kissat,,,,,,,,,,,5037.323318,,,1756
accepted14,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,3,lkk_none,2.44389,0.200268,0.352409,29.189,0,0,0,0,0,0,67.001529,UNKNOWN,True,4556
accepted14,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,1,lkk_cadical,2.15022,0.120184,0.289539,325.402,0,0,423.116,0,423.116,0,769.754118,UNKNOWN,True,6864
accepted14,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,1,lkk_kissat,2.50632,0.177887,0.35223,342.64,0,0,108.029,2.29694,90,20.326,519.373185,UNKNOWN,True,4236
accepted14,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,1,lkk_none,3.228,0.175348,0.358058,454.069,0,0,0,0,0,0,469.67389,UNKNOWN,True,4504
