set,instance,family,scale,variant,seed,solver,runtime_ms,status,timed_out,par2_ms,structural_result,fallback_used,fallback_engine,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,conflicts,decisions,propagations,peak_rss_kb,raw_log
expanded,003_exact_r_allocation_scale11_phase4b.cnf,exact_r_allocation,11,phase4b,1,lkk_kissat,5037.481627,TIMEOUT,True,10000.0,,,lkk_kissat,,,,,,,,,,,,,,1744,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_003__003_exact_r_allocation_scale11_phase4b__lkk_kissat__seed1.log
expanded,003_exact_r_allocation_scale11_phase4b.cnf,exact_r_allocation,11,phase4b,1,lkk_none,67.758948,UNKNOWN,False,10000.0,UNKNOWN,True,none,0,0,0,0,2.38707,0.286291,0.454625,32.2852,0,0,-1,-1,-1,4452,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_003__003_exact_r_allocation_scale11_phase4b__lkk_none__seed1.log
expanded,003_exact_r_allocation_scale11_phase4b.cnf,exact_r_allocation,11,phase4b,1,cadical,5035.904891,TIMEOUT,True,10000.0,,,cadical,,,,,,,,,,,,,,1752,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_003__003_exact_r_allocation_scale11_phase4b__cadical__seed1.log
expanded,003_exact_r_allocation_scale11_phase4b.cnf,exact_r_allocation,11,phase4b,1,kissat,5038.584378,TIMEOUT,True,10000.0,,,kissat,,,,,,,,,,,,,,1588,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_003__003_exact_r_allocation_scale11_phase4b__kissat__seed1.log
expanded,003_exact_r_allocation_scale11_phase4b.cnf,exact_r_allocation,11,phase4b,1,lkk_cadical,5036.392283,TIMEOUT,True,10000.0,,,lkk_cadical,,,,,,,,,,,,,,1756,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_003__003_exact_r_allocation_scale11_phase4b__lkk_cadical__seed1.log
expanded,004_exact_r_allocation_scale13_phase4b.cnf,exact_r_allocation,13,phase4b,1,lkk_none,67.562376,UNKNOWN,False,10000.0,UNKNOWN,True,none,0,0,0,0,3.10036,0.469553,0.741386,31.3406,0,0,-1,-1,-1,4508,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_004__004_exact_r_allocation_scale13_phase4b__lkk_none__seed1.log
expanded,004_exact_r_allocation_scale13_phase4b.cnf,exact_r_allocation,13,phase4b,1,cadical,5037.416684,TIMEOUT,True,10000.0,,,cadical,,,,,,,,,,,,,,1652,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_004__004_exact_r_allocation_scale13_phase4b__cadical__seed1.log
expanded,004_exact_r_allocation_scale13_phase4b.cnf,exact_r_allocation,13,phase4b,1,kissat,5036.674501,TIMEOUT,True,10000.0,,,kissat,,,,,,,,,,,,,,1596,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_004__004_exact_r_allocation_scale13_phase4b__kissat__seed1.log
expanded,004_exact_r_allocation_scale13_phase4b.cnf,exact_r_allocation,13,phase4b,1,lkk_cadical,5039.422148,TIMEOUT,True,10000.0,,,lkk_cadical,,,,,,,,,,,,,,1700,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_004__004_exact_r_allocation_scale13_phase4b__lkk_cadical__seed1.log
expanded,004_exact_r_allocation_scale13_phase4b.cnf,exact_r_allocation,13,phase4b,1,lkk_kissat,5037.44016,TIMEOUT,True,10000.0,,,lkk_kissat,,,,,,,,,,,,,,1652,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_004__004_exact_r_allocation_scale13_phase4b__lkk_kissat__seed1.log
expanded,005_overlapping_hall_violation_scale6_phase4b.cnf,overlapping_hall_violation,6,phase4b,1,cadical,66.783596,UNSATISFIABLE,False,66.783596,,,cadical,,,,,,,,,,,0,960,11261,2360,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_005__005_overlapping_hall_violation_scale6_phase4b__cadical__seed1.log
expanded,005_overlapping_hall_violation_scale6_phase4b.cnf,overlapping_hall_violation,6,phase4b,1,kissat,34.941388,UNSATISFIABLE,False,34.941388,,,kissat,,,,,,,,,,,565,769,12320,1800,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_005__005_overlapping_hall_violation_scale6_phase4b__kissat__seed1.log
expanded,005_overlapping_hall_violation_scale6_phase4b.cnf,overlapping_hall_violation,6,phase4b,1,lkk_cadical,66.660947,UNSATISFIABLE,False,66.660947,UNSAT,False,cadical,0,0,0,0,1.93901,0.079964,0.155379,46.5627,0.018313,3.42566,-1,-1,-1,4164,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_005__005_overlapping_hall_violation_scale6_phase4b__lkk_cadical__seed1.log
expanded,005_overlapping_hall_violation_scale6_phase4b.cnf,overlapping_hall_violation,6,phase4b,1,lkk_kissat,66.682347,UNSATISFIABLE,False,66.682347,UNSAT,False,kissat,0,0,0,0,1.37568,0.069839,0.13335,37.7326,0.019228,4.10223,-1,-1,-1,4092,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_005__005_overlapping_hall_violation_scale6_phase4b__lkk_kissat__seed1.log
expanded,005_overlapping_hall_violation_scale6_phase4b.cnf,overlapping_hall_violation,6,phase4b,1,lkk_none,66.981163,UNSATISFIABLE,False,66.981163,UNSAT,False,none,0,0,0,0,1.32317,0.064711,0.136116,44.3703,0.021301,4.53391,-1,-1,-1,4140,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_005__005_overlapping_hall_violation_scale6_phase4b__lkk_none__seed1.log
expanded,006_overlapping_hall_violation_scale8_phase4b.cnf,overlapping_hall_violation,8,phase4b,1,kissat,116.952987,UNSATISFIABLE,False,116.952987,,,kissat,,,,,,,,,,,8422,12151,245912,2456,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_006__006_overlapping_hall_violation_scale8_phase4b__kissat__seed1.log
expanded,006_overlapping_hall_violation_scale8_phase4b.cnf,overlapping_hall_violation,8,phase4b,1,lkk_cadical,820.459082,UNSATISFIABLE,False,820.459082,UNKNOWN,True,cadical,434.418,0,434.418,0,1.67311,0.124005,0.290743,331.136,0,0,45027,49432,431302,7012,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_006__006_overlapping_hall_violation_scale8_phase4b__lkk_cadical__seed1.log
