configuration,instance,family,runtime_ms,status,structural_result,registry_status,family_checks
budget=300000,008_overlapping_hall_violation_s5_n0.cnf,overlapping_hall_violation,10.631402,UNSATISFIABLE,UNSAT,COMPLETE,3596
budget=300000,009_overlapping_hall_violation_s7_n0.cnf,overlapping_hall_violation,18.695258,UNSATISFIABLE,UNSAT,COMPLETE,18411
budget=300000,010_overlapping_hall_violation_s10_n0.cnf,overlapping_hall_violation,35.327003,UNSATISFIABLE,UNSAT,COMPLETE,106116
budget=300000,011_capacity2_violation_s3_n0.cnf,capacity2_violation,10.668238,UNSATISFIABLE,UNSAT,COMPLETE,7714
budget=500000,006_exact_r_allocation_s10_n0.cnf,exact_r_allocation,10.243415,UNSATISFIABLE,UNSAT,COMPLETE,12330
budget=500000,007_exact_r_allocation_s12_n0.cnf,exact_r_allocation,18.533821,UNSATISFIABLE,UNSAT,COMPLETE,30436
budget=500000,008_overlapping_hall_violation_s5_n0.cnf,overlapping_hall_violation,10.647468,UNSATISFIABLE,UNSAT,COMPLETE,3596
budget=500000,009_overlapping_hall_violation_s7_n0.cnf,overlapping_hall_violation,19.694025,UNSATISFIABLE,UNSAT,COMPLETE,18411
budget=500000,010_overlapping_hall_violation_s10_n0.cnf,overlapping_hall_violation,34.716419,UNSATISFIABLE,UNSAT,COMPLETE,106116
budget=500000,011_capacity2_violation_s3_n0.cnf,capacity2_violation,10.17727,UNSATISFIABLE,UNSAT,COMPLETE,7714
RACE,after 12,dropped,,budget=100000,,,
budget=200000,012_capacity2_violation_s4_n0.cnf,capacity2_violation,18.012329,UNSATISFIABLE,UNSAT,COMPLETE,59253
budget=200000,013_capacity2_violation_s6_n0.cnf,capacity2_violation,5041.30883,ERROR,UNKNOWN,,
budget=200000,014_hidden_pigeonhole_s6_n0.cnf,hidden_pigeonhole,11.296649,UNSATISFIABLE,UNSAT,COMPLETE,2529
budget=200000,015_hidden_pigeonhole_s6_n100.cnf,hidden_pigeonhole,10.648759,UNSATISFIABLE,UNSAT,COMPLETE,2534
budget=200000,016_hidden_pigeonhole_s8_n0.cnf,hidden_pigeonhole,18.271732,UNSATISFIABLE,UNSAT,COMPLETE,12060
budget=200000,017_hidden_pigeonhole_s8_n100.cnf,hidden_pigeonhole,20.041035,UNSATISFIABLE,UNSAT,COMPLETE,12062
budget=300000,012_capacity2_violation_s4_n0.cnf,capacity2_violation,35.873335,UNSATISFIABLE,UNSAT,COMPLETE,59253
budget=300000,013_capacity2_violation_s6_n0.cnf,capacity2_violation,5055.642117,ERROR,UNKNOWN,,
budget=300000,014_hidden_pigeonhole_s6_n0.cnf,hidden_pigeonhole,21.14866,UNSATISFIABLE,UNSAT,COMPLETE,2529
budget=300000,015_hidden_pigeonhole_s6_n100.cnf,hidden_pigeonhole,19.930804,UNSATISFIABLE,UNSAT,COMPLETE,2534
