instance,family,noise_percent,hidden,budget_probe,expected_result,lkk_hybrid_result,structural_result,witness_valid,fallback_used,cadical_result,kissat_result,cadical_ms,cadical_timed_out,cadical_exit_code,cadical_log,kissat_ms,kissat_timed_out,kissat_exit_code,kissat_log,mismatch
015_overlapping_hall_violation_noise100.cnf,overlapping_hall_violation,100,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.777881,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/015_overlapping_hall_violation_noise100__cadical.log,18.660846,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/015_overlapping_hall_violation_noise100__kissat.log,False
016_overlapping_hall_violation_noise200.cnf,overlapping_hall_violation,200,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,68.084408,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/016_overlapping_hall_violation_noise200__cadical.log,19.255182,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/016_overlapping_hall_violation_noise200__kissat.log,False
017_satisfiable_capacity_control_noise0.cnf,satisfiable_capacity_control,0,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.161261,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/017_satisfiable_capacity_control_noise0__cadical.log,18.320014,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/017_satisfiable_capacity_control_noise0__kissat.log,False
018_satisfiable_capacity_control_noise50.cnf,satisfiable_capacity_control,50,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,68.106490,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/018_satisfiable_capacity_control_noise50__cadical.log,18.948815,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/018_satisfiable_capacity_control_noise50__kissat.log,False
019_satisfiable_capacity_control_noise100.cnf,satisfiable_capacity_control,100,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.384673,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/019_satisfiable_capacity_control_noise100__cadical.log,18.895587,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/019_satisfiable_capacity_control_noise100__kissat.log,False
020_satisfiable_capacity_control_noise200.cnf,satisfiable_capacity_control,200,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.176458,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/020_satisfiable_capacity_control_noise200__cadical.log,19.104148,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/020_satisfiable_capacity_control_noise200__kissat.log,False
021_capacity_violation_noise0.cnf,capacity_violation,0,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.256841,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/021_capacity_violation_noise0__cadical.log,18.056771,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/021_capacity_violation_noise0__kissat.log,False
022_capacity_violation_noise50.cnf,capacity_violation,50,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.185485,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/022_capacity_violation_noise50__cadical.log,17.884946,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/022_capacity_violation_noise50__kissat.log,False
023_capacity_violation_noise100.cnf,capacity_violation,100,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.435626,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/023_capacity_violation_noise100__cadical.log,18.941978,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/023_capacity_violation_noise100__kissat.log,False
024_capacity_violation_noise200.cnf,capacity_violation,200,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,66.778546,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/024_capacity_violation_noise200__cadical.log,18.333218,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/024_capacity_violation_noise200__kissat.log,False
025_hidden_cardinality_noise0.cnf,hidden_cardinality,0,True,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.381107,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/025_hidden_cardinality_noise0__cadical.log,17.752978,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/025_hidden_cardinality_noise0__kissat.log,False
026_hidden_cardinality_noise50.cnf,hidden_cardinality,50,True,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,68.166677,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/026_hidden_cardinality_noise50__cadical.log,18.358936,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/026_hidden_cardinality_noise50__kissat.log,False
027_hidden_cardinality_noise100.cnf,hidden_cardinality,100,True,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.270577,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/027_hidden_cardinality_noise100__cadical.log,18.464423,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/027_hidden_cardinality_noise100__kissat.log,False
028_hidden_cardinality_noise200.cnf,hidden_cardinality,200,True,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.618182,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/028_hidden_cardinality_noise200__cadical.log,35.697771,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/028_hidden_cardinality_noise200__kissat.log,False
029_recovery_budget_abort_control_noise0.cnf,recovery_budget_abort_control,0,True,True,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,False,True,UNSATISFIABLE,UNSATISFIABLE,34.005038,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/029_recovery_budget_abort_control_noise0__cadical.log,18.656682,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/029_recovery_budget_abort_control_noise0__kissat.log,False
030_recovery_budget_abort_control_noise50.cnf,recovery_budget_abort_control,50,True,True,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,False,True,UNSATISFIABLE,UNSATISFIABLE,33.841798,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/030_recovery_budget_abort_control_noise50__cadical.log,18.472972,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/030_recovery_budget_abort_control_noise50__kissat.log,False
031_recovery_budget_abort_control_noise100.cnf,recovery_budget_abort_control,100,True,True,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,False,True,UNSATISFIABLE,UNSATISFIABLE,67.383056,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/031_recovery_budget_abort_control_noise100__cadical.log,18.800048,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/031_recovery_budget_abort_control_noise100__kissat.log,False
032_recovery_budget_abort_control_noise200.cnf,recovery_budget_abort_control,200,True,True,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,False,True,UNSATISFIABLE,UNSATISFIABLE,66.752260,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/032_recovery_budget_abort_control_noise200__cadical.log,19.474455,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/032_recovery_budget_abort_control_noise200__kissat.log,False
