configuration,instance,family,runtime_ms,status,structural_result,registry_status,family_checks
budget=500000,010_exact_r_allocation_s11_n0.cnf,exact_r_allocation,19.003783,UNSATISFIABLE,UNSAT,COMPLETE,16731
budget=500000,011_exact_r_allocation_s12_n0.cnf,exact_r_allocation,18.936926,UNSATISFIABLE,UNSAT,COMPLETE,30436
budget=1000000,006_exact_r_allocation_s5_n0.cnf,exact_r_allocation,10.539239,UNSATISFIABLE,UNSAT,COMPLETE,270
budget=1000000,007_exact_r_allocation_s7_n0.cnf,exact_r_allocation,10.695606,UNSATISFIABLE,UNSAT,COMPLETE,1610
budget=1000000,008_exact_r_allocation_s9_n0.cnf,exact_r_allocation,11.128296,UNSATISFIABLE,UNSAT,COMPLETE,5955
budget=1000000,009_exact_r_allocation_s10_n0.cnf,exact_r_allocation,19.760978,UNSATISFIABLE,UNSAT,COMPLETE,12330
budget=1000000,010_exact_r_allocation_s11_n0.cnf,exact_r_allocation,19.318501,UNSATISFIABLE,UNSAT,COMPLETE,16731
budget=1000000,011_exact_r_allocation_s12_n0.cnf,exact_r_allocation,19.559023,UNSATISFIABLE,UNSAT,COMPLETE,30436
budget=100000,012_overlapping_hall_violation_s5_n0.cnf,overlapping_hall_violation,11.351587,UNSATISFIABLE,UNSAT,COMPLETE,3596
budget=100000,013_overlapping_hall_violation_s7_n0.cnf,overlapping_hall_violation,19.402007,UNSATISFIABLE,UNSAT,COMPLETE,18411
budget=100000,014_overlapping_hall_violation_s8_n0.cnf,overlapping_hall_violation,20.030003,UNSATISFIABLE,UNSAT,COMPLETE,35405
budget=100000,015_overlapping_hall_violation_s9_n0.cnf,overlapping_hall_violation,34.988106,UNSATISFIABLE,UNSAT,COMPLETE,63154
budget=100000,016_overlapping_hall_violation_s10_n0.cnf,overlapping_hall_violation,5039.457023,ERROR,UNKNOWN,,
budget=100000,017_capacity2_violation_s3_n0.cnf,capacity2_violation,10.744936,UNSATISFIABLE,UNSAT,COMPLETE,7714
budget=200000,012_overlapping_hall_violation_s5_n0.cnf,overlapping_hall_violation,10.523064,UNSATISFIABLE,UNSAT,COMPLETE,3596
budget=200000,013_overlapping_hall_violation_s7_n0.cnf,overlapping_hall_violation,18.450492,UNSATISFIABLE,UNSAT,COMPLETE,18411
budget=200000,014_overlapping_hall_violation_s8_n0.cnf,overlapping_hall_violation,18.410406,UNSATISFIABLE,UNSAT,COMPLETE,35405
budget=200000,015_overlapping_hall_violation_s9_n0.cnf,overlapping_hall_violation,18.802416,UNSATISFIABLE,UNSAT,COMPLETE,63154
budget=200000,016_overlapping_hall_violation_s10_n0.cnf,overlapping_hall_violation,35.158598,UNSATISFIABLE,UNSAT,COMPLETE,106116
budget=200000,017_capacity2_violation_s3_n0.cnf,capacity2_violation,19.051923,UNSATISFIABLE,UNSAT,COMPLETE,7714
budget=300000,012_overlapping_hall_violation_s5_n0.cnf,overlapping_hall_violation,11.334803,UNSATISFIABLE,UNSAT,COMPLETE,3596
budget=300000,013_overlapping_hall_violation_s7_n0.cnf,overlapping_hall_violation,19.44827,UNSATISFIABLE,UNSAT,COMPLETE,18411
budget=300000,014_overlapping_hall_violation_s8_n0.cnf,overlapping_hall_violation,18.34363,UNSATISFIABLE,UNSAT,COMPLETE,35405
budget=300000,015_overlapping_hall_violation_s9_n0.cnf,overlapping_hall_violation,35.837286,UNSATISFIABLE,UNSAT,COMPLETE,63154
budget=300000,016_overlapping_hall_violation_s10_n0.cnf,overlapping_hall_violation,35.169421,UNSATISFIABLE,UNSAT,COMPLETE,106116
budget=300000,017_capacity2_violation_s3_n0.cnf,capacity2_violation,10.440342,UNSATISFIABLE,UNSAT,COMPLETE,7714
budget=500000,012_overlapping_hall_violation_s5_n0.cnf,overlapping_hall_violation,10.048094,UNSATISFIABLE,UNSAT,COMPLETE,3596
budget=500000,013_overlapping_hall_violation_s7_n0.cnf,overlapping_hall_violation,18.356815,UNSATISFIABLE,UNSAT,COMPLETE,18411
budget=500000,014_overlapping_hall_violation_s8_n0.cnf,overlapping_hall_violation,18.900329,UNSATISFIABLE,UNSAT,COMPLETE,35405
budget=500000,015_overlapping_hall_violation_s9_n0.cnf,overlapping_hall_violation,18.418076,UNSATISFIABLE,UNSAT,COMPLETE,63154
budget=500000,016_overlapping_hall_violation_s10_n0.cnf,overlapping_hall_violation,34.931389,UNSATISFIABLE,UNSAT,COMPLETE,106116
budget=500000,017_capacity2_violation_s3_n0.cnf,capacity2_violation,10.12032,UNSATISFIABLE,UNSAT,COMPLETE,7714
budget=1000000,012_overlapping_hall_violation_s5_n0.cnf,overlapping_hall_violation,10.101396,UNSATISFIABLE,UNSAT,COMPLETE,3596
budget=1000000,013_overlapping_hall_violation_s7_n0.cnf,overlapping_hall_violation,18.615286,UNSATISFIABLE,UNSAT,COMPLETE,18411
budget=1000000,014_overlapping_hall_violation_s8_n0.cnf,overlapping_hall_violation,18.322169,UNSATISFIABLE,UNSAT,COMPLETE,35405
budget=1000000,015_overlapping_hall_violation_s9_n0.cnf,overlapping_hall_violation,18.428262,UNSATISFIABLE,UNSAT,COMPLETE,63154
budget=1000000,016_overlapping_hall_violation_s10_n0.cnf,overlapping_hall_violation,35.222176,UNSATISFIABLE,UNSAT,COMPLETE,106116
budget=1000000,017_capacity2_violation_s3_n0.cnf,capacity2_violation,10.965724,UNSATISFIABLE,UNSAT,COMPLETE,7714
