instance,family,scale,original_python_lkk_par2_ms,native_lkk_par2_ms,implementation_speedup,cadical_par2_ms,kissat_par2_ms,cadical_over_native,kissat_over_native
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,234.93511166666667,34.87073733333333,6.737314138812017,116.981826,34.280126,3.3547276296958524,0.9830628378262378
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,319.33071466666667,100.97563,3.162453303501713,4349.095056,468.209072,43.070739504175414,4.63685219889195
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,637.237717,67.312958,9.466791178601898,217.687826,185.33073633333333,3.233966125808942,2.753269828571987
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,10000,10000,1.0,10000,10000,1.0,1.0
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,1137.599546,719.86839,1.5802882329643617,418.1697726666667,150.600071,0.5808975341543566,0.20920500620953786
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,8044.753685333333,4383.908097666666,1.8350644005551007,3780.818045666667,367.6802823333333,0.8624309546267647,0.08387043572583809
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,536.5517306666667,267.7672723333333,2.003798768950127,1103.8644716666668,233.57023266666667,4.122477187176585,0.8722882024801893
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,721.0625973333333,334.81932866666665,2.153587130721464,1573.512253,251.07866433333334,4.699586070093727,0.7498929805910269
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,571.2515273333333,67.81281233333333,8.423946857200836,502.4098173333333,151.04837533333333,7.40877424259802,2.2274312203843762
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,971.7723540000001,502.00795500000004,1.9357708265798297,518.3880276666666,150.39173066666666,1.0326291097651363,0.2995803735155286
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,837.3027976666667,67.52048433333333,12.400722624160878,117.55685166666666,29.491272333333335,1.7410546270123763,0.4367751894038794
012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,306.052333,67.56750266666667,4.529578879211499,117.99151499999999,117.671465,1.7462760993564024,1.7415393548066016
013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,1055.4080016666667,736.2911563333333,1.433411215914242,786.5183226666667,853.2914223333333,1.068216446579992,1.1589048910795714
014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,1256.0013733333333,802.8545826666667,1.5644195106435685,836.2263513333334,133.42341133333332,1.0415663924540643,0.16618627359660815
