instance,family,scale,variant,variables,clauses,cnf_sha256,solver,runtime_ms,status,timed_out,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,fallback_ms,structural_result,fallback_used,peak_rss_kb,witness_check_ms
007_capacity2_violation_scale4_phase4a_sweep.cnf,capacity2_violation,4,phase4a_sweep,36,399,97b5a4068543f43066e725c8217ad79fa61eb6b1a91d81e804fda604625eeda2,native_lkk,67.187772,UNSATISFIABLE,False,1.29007,0.053985,0.126195,32.8963,0.010127,0,UNSAT,False,4036,6.0711
007_capacity2_violation_scale4_phase4a_sweep.cnf,capacity2_violation,4,phase4a_sweep,36,399,97b5a4068543f43066e725c8217ad79fa61eb6b1a91d81e804fda604625eeda2,cadical,66.867909,UNSATISFIABLE,False,,,,,,,,,2536,
007_capacity2_violation_scale4_phase4a_sweep.cnf,capacity2_violation,4,phase4a_sweep,36,399,97b5a4068543f43066e725c8217ad79fa61eb6b1a91d81e804fda604625eeda2,kissat,36.38865,UNSATISFIABLE,False,,,,,,,,,1684,
008_capacity2_violation_scale5_phase4a_sweep.cnf,capacity2_violation,5,phase4a_sweep,55,946,56f6d7ffe29e4b7ffa61a1ddf44945a570783e4c7947ec5e471f3c2522086a76,native_lkk,269.230876,UNSATISFIABLE,False,1.8054,0.123054,0.27569,218.715,0.016359,0,UNSAT,False,4368,16.4366
008_capacity2_violation_scale5_phase4a_sweep.cnf,capacity2_violation,5,phase4a_sweep,55,946,56f6d7ffe29e4b7ffa61a1ddf44945a570783e4c7947ec5e471f3c2522086a76,cadical,669.359405,UNSATISFIABLE,False,,,,,,,,,4784,
008_capacity2_violation_scale5_phase4a_sweep.cnf,capacity2_violation,5,phase4a_sweep,55,946,56f6d7ffe29e4b7ffa61a1ddf44945a570783e4c7947ec5e471f3c2522086a76,kissat,217.49256,UNSATISFIABLE,False,,,,,,,,,2820,
009_capacity2_violation_scale6_phase4a_sweep.cnf,capacity2_violation,6,phase4a_sweep,78,1924,b8db3ddfe498dd98fcc01040d71c9f76c65f85fa90be21a62d78bb67b3a6cf3f,native_lkk,1120.61482,UNSATISFIABLE,False,2.12626,0.224173,0.523816,1083.5,0.02128,0,UNSAT,False,4664,48.8712
009_capacity2_violation_scale6_phase4a_sweep.cnf,capacity2_violation,6,phase4a_sweep,78,1924,b8db3ddfe498dd98fcc01040d71c9f76c65f85fa90be21a62d78bb67b3a6cf3f,cadical,5036.670899,TIMEOUT,True,,,,,,,,,1736,
009_capacity2_violation_scale6_phase4a_sweep.cnf,capacity2_violation,6,phase4a_sweep,78,1924,b8db3ddfe498dd98fcc01040d71c9f76c65f85fa90be21a62d78bb67b3a6cf3f,kissat,2124.538488,UNSATISFIABLE,False,,,,,,,,,6660,
010_capacity2_violation_scale7_phase4a_sweep.cnf,capacity2_violation,7,phase4a_sweep,105,3515,be1ee15e5c96254630e90af570545198f61668985441c3abf8d2cbc9b54ad625,native_lkk,5036.547307,TIMEOUT,True,,,,,,,,,1732,0.0
