campaign,instance,family,expected_result,python_structural_result,native_structural_result,structural_equal,native_final_result,cadical_result,kissat_result,witness_valid,witness_check_ms,passed
phase2,001_pigeonhole_exact1_noise0.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,12.394973,True
phase2,002_pigeonhole_exact1_noise50.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,11.876288,True
phase2,003_pigeonhole_exact1_noise100.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,11.069489,True
phase2,004_pigeonhole_exact1_noise200.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,10.230771,True
phase2,005_exact_r_allocation_noise0.cnf,exact_r_allocation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,16.287645,True
phase2,006_exact_r_allocation_noise50.cnf,exact_r_allocation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,8.383579,True
phase2,007_exact_r_allocation_noise100.cnf,exact_r_allocation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,10.592224,True
phase2,008_exact_r_allocation_noise200.cnf,exact_r_allocation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,12.369134,True
phase2,009_bipartite_matching_noise0.cnf,bipartite_matching,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,010_bipartite_matching_noise50.cnf,bipartite_matching,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,011_bipartite_matching_noise100.cnf,bipartite_matching,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,012_bipartite_matching_noise200.cnf,bipartite_matching,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,013_overlapping_hall_violation_noise0.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,8.177276,True
phase2,014_overlapping_hall_violation_noise50.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,10.055785,True
phase2,015_overlapping_hall_violation_noise100.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,9.160067,True
phase2,016_overlapping_hall_violation_noise200.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,11.471791,True
phase2,017_satisfiable_capacity_control_noise0.cnf,satisfiable_capacity_control,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,018_satisfiable_capacity_control_noise50.cnf,satisfiable_capacity_control,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,019_satisfiable_capacity_control_noise100.cnf,satisfiable_capacity_control,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,020_satisfiable_capacity_control_noise200.cnf,satisfiable_capacity_control,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,021_capacity_violation_noise0.cnf,capacity_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,6.959839,True
phase2,022_capacity_violation_noise50.cnf,capacity_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,8.639496,True
phase2,023_capacity_violation_noise100.cnf,capacity_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,10.322241,True
phase2,024_capacity_violation_noise200.cnf,capacity_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,10.99065,True
