campaign,instance,family,expected_result,python_structural_result,native_structural_result,structural_equal,native_final_result,cadical_result,kissat_result,witness_valid,witness_check_ms,passed
phase2,025_hidden_cardinality_noise0.cnf,hidden_cardinality,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,7.621521,True
phase2,026_hidden_cardinality_noise50.cnf,hidden_cardinality,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,9.915427,True
phase2,027_hidden_cardinality_noise100.cnf,hidden_cardinality,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,8.636774,True
phase2,028_hidden_cardinality_noise200.cnf,hidden_cardinality,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,11.530797,True
phase2,029_recovery_budget_abort_control_noise0.cnf,recovery_budget_abort_control,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase2,030_recovery_budget_abort_control_noise50.cnf,recovery_budget_abort_control,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase2,031_recovery_budget_abort_control_noise100.cnf,recovery_budget_abort_control,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase2,032_recovery_budget_abort_control_noise200.cnf,recovery_budget_abort_control,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase3,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,12.28971,True
phase3,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,19.714995,True
phase3,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,19.496465,True
phase3,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase3,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase3,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase3,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,19.808101,True
phase3,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,26.513062,True
phase3,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,39.097485,True
phase3,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase3,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,SATISFIABLE,UNKNOWN,UNKNOWN,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase3,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,SATISFIABLE,UNKNOWN,UNKNOWN,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase3,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,SATISFIABLE,UNKNOWN,UNKNOWN,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase3,014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,SATISFIABLE,UNKNOWN,UNKNOWN,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
