instance,family,scale,variant,seed,solver,runtime_ms,status,par2_ms,timed_out,structural_result,fallback_used,registry_ms,family_checks,recovery_ms,flow_ms,fallback_ms,total_end_to_end_ms,peak_rss_kb
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,lkk_4a_sealed,69.500608,UNSATISFIABLE,69.500608,False,UNSAT,False,48.2587,37170,0.264677,0.018414,0,52.5634,4340
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,lkk_4c_indexed,18.48522,UNSATISFIABLE,18.48522,False,UNSAT,False,4.88791,36775,0.201941,0.017835,0,7.82904,4400
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,cadical,4485.74326,UNSATISFIABLE,4485.74326,False,,,,,,,,4485.74326,7744
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,kissat,418.778878,UNSATISFIABLE,418.778878,False,,,,,,,,418.778878,3120
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,lkk_4c_indexed,18.170443,UNSATISFIABLE,18.170443,False,UNSAT,False,5.28698,36775,0.247599,0.017574,0,9.0449,4548
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,cadical,4384.06942,UNSATISFIABLE,4384.06942,False,,,,,,,,4384.06942,7544
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,kissat,569.08281,UNSATISFIABLE,569.08281,False,,,,,,,,569.08281,3128
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,lkk_4a_sealed,119.023506,UNSATISFIABLE,119.023506,False,UNSAT,False,61.9184,37170,0.290922,0.036339,0,66.3235,4248
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,cadical,4988.504345,UNSATISFIABLE,4988.504345,False,,,,,,,,4988.504345,8028
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,kissat,519.791402,UNSATISFIABLE,519.791402,False,,,,,,,,519.791402,3008
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,lkk_4a_sealed,117.34072,UNSATISFIABLE,117.34072,False,UNSAT,False,57.8397,37170,0.207232,0.023962,0,61.1095,4260
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,lkk_4c_indexed,18.999105,UNSATISFIABLE,18.999105,False,UNSAT,False,6.37291,36775,0.268373,0.021586,0,10.3395,4424
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,lkk_4c_indexed,19.214621,UNSATISFIABLE,19.214621,False,UNSAT,False,1.6089,5955,0.216366,0.015188,0,5.42558,4228
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,cadical,217.963949,UNSATISFIABLE,217.963949,False,,,,,,,,217.963949,2884
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,kissat,167.989311,UNSATISFIABLE,167.989311,False,,,,,,,,167.989311,2256
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,lkk_4a_sealed,68.31386,UNSATISFIABLE,68.31386,False,UNSAT,False,25.2277,141480,0.216725,0.017732,0,29.2747,4236
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,2,cadical,217.841362,UNSATISFIABLE,217.841362,False,,,,,,,,217.841362,2852
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,2,kissat,218.90308,UNSATISFIABLE,218.90308,False,,,,,,,,218.90308,2520
