instance,stratum,mode,runtime_ms,status
uf250-059.cnf,resource_allocation_like,C_lkk_cadical,267.660433,SATISFIABLE
uf250-059.cnf,resource_allocation_like,D_lkk_kissat,116.482131,SATISFIABLE
2bitadd_10.cnf,cardinality_exact_r_heavy,C_lkk_cadical,10102.853408,UNSATISFIABLE
2bitadd_10.cnf,cardinality_exact_r_heavy,D_lkk_kissat,1020.014876,UNSATISFIABLE
bmc-galileo-9.cnf,no_useful_detected_structure,C_lkk_cadical,1271.746833,SATISFIABLE
bmc-galileo-9.cnf,no_useful_detected_structure,D_lkk_kissat,1270.759305,SATISFIABLE
uuf200-07.cnf,resource_allocation_like,C_lkk_cadical,417.958989,UNSATISFIABLE
uuf200-07.cnf,resource_allocation_like,D_lkk_kissat,467.652233,UNSATISFIABLE
mp1-Nb5T15.cnf,cardinality_exact_r_heavy,C_lkk_cadical,27474.789465,SATISFIABLE
mp1-Nb5T15.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60044.525576,TIMEOUT
par32-3.cnf,no_useful_detected_structure,C_lkk_cadical,60029.591692,TIMEOUT
par32-3.cnf,no_useful_detected_structure,D_lkk_kissat,60052.686716,TIMEOUT
flat200-77.cnf,resource_allocation_like,C_lkk_cadical,34.264915,SATISFIABLE
flat200-77.cnf,resource_allocation_like,D_lkk_kissat,116.634131,SATISFIABLE
mdp-36-10-sat.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60007.247682,TIMEOUT
mdp-36-10-sat.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60030.647175,TIMEOUT
hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,2276.717929,UNSATISFIABLE
hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,971.026581,UNSATISFIABLE
flat200-96.cnf,resource_allocation_like,C_lkk_cadical,116.684897,SATISFIABLE
flat200-96.cnf,resource_allocation_like,D_lkk_kissat,117.439101,SATISFIABLE
4blocksb.cnf,cardinality_exact_r_heavy,C_lkk_cadical,218.667444,SATISFIABLE
4blocksb.cnf,cardinality_exact_r_heavy,D_lkk_kissat,317.957149,SATISFIABLE
g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,C_lkk_cadical,60024.146417,TIMEOUT
g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,D_lkk_kissat,45907.927867,SATISFIABLE
uf250-086.cnf,resource_allocation_like,C_lkk_cadical,819.662957,SATISFIABLE
uf250-086.cnf,resource_allocation_like,D_lkk_kissat,1020.116601,SATISFIABLE
mdp-28-11-sat.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60016.571536,TIMEOUT
mdp-28-11-sat.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60034.187577,TIMEOUT
mp1-Nb7T42.cnf,no_useful_detected_structure,C_lkk_cadical,25087.60155,SATISFIABLE
mp1-Nb7T42.cnf,no_useful_detected_structure,D_lkk_kissat,60051.257317,TIMEOUT
jnh203.cnf,resource_allocation_like,C_lkk_cadical,18.645392,UNSATISFIABLE
jnh203.cnf,resource_allocation_like,D_lkk_kissat,67.67073,UNSATISFIABLE
par32-2-c.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60025.897447,TIMEOUT
par32-2-c.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60043.320015,TIMEOUT
j3037_10_mdd_bm1.cnf,no_useful_detected_structure,C_lkk_cadical,56628.568567,UNSATISFIABLE
j3037_10_mdd_bm1.cnf,no_useful_detected_structure,D_lkk_kissat,36432.684027,UNSATISFIABLE
uuf250-026.cnf,resource_allocation_like,C_lkk_cadical,2277.634838,UNSATISFIABLE
uuf250-026.cnf,resource_allocation_like,D_lkk_kissat,2027.011793,UNSATISFIABLE
mdp-32-14-sat.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60053.29353,TIMEOUT
mdp-32-14-sat.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60038.766789,TIMEOUT
FmlaEquivChain_4_8_8.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,60014.188338,TIMEOUT
FmlaEquivChain_4_8_8.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,60057.168885,TIMEOUT
pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf,resource_allocation_like,C_lkk_cadical,60049.845881,TIMEOUT
pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf,resource_allocation_like,D_lkk_kissat,60044.60338,TIMEOUT
pret150_75.cnf,cardinality_exact_r_heavy,C_lkk_cadical,35.990022,UNSATISFIABLE
pret150_75.cnf,cardinality_exact_r_heavy,D_lkk_kissat,117.818519,UNSATISFIABLE
SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf,no_useful_detected_structure,C_lkk_cadical,60009.83077,TIMEOUT
SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf,no_useful_detected_structure,D_lkk_kissat,60054.642026,TIMEOUT
flat200-41.cnf,resource_allocation_like,C_lkk_cadical,67.424215,SATISFIABLE
flat200-41.cnf,resource_allocation_like,D_lkk_kissat,117.835959,SATISFIABLE
par32-5-c.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60045.026889,TIMEOUT
par32-5-c.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60042.842065,TIMEOUT
pcmax-scheduling-m12-8049-55035-SAT.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,60047.364566,TIMEOUT
pcmax-scheduling-m12-8049-55035-SAT.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,60047.528332,TIMEOUT
uf250-06.cnf,resource_allocation_like,C_lkk_cadical,268.138931,SATISFIABLE
uf250-06.cnf,resource_allocation_like,D_lkk_kissat,168.700238,SATISFIABLE
par16-4-c.cnf,cardinality_exact_r_heavy,C_lkk_cadical,35.975851,SATISFIABLE
par16-4-c.cnf,cardinality_exact_r_heavy,D_lkk_kissat,118.404274,SATISFIABLE
goldcrest-and-9.cnf,no_useful_detected_structure,C_lkk_cadical,60008.514962,TIMEOUT
goldcrest-and-9.cnf,no_useful_detected_structure,D_lkk_kissat,60052.555094,TIMEOUT
flat200-60.cnf,resource_allocation_like,C_lkk_cadical,35.156065,SATISFIABLE
flat200-60.cnf,resource_allocation_like,D_lkk_kissat,118.450373,SATISFIABLE
Timetable_C_392_E_62_Cl_26_S_28.cnf,no_useful_detected_structure,C_lkk_cadical,53225.558641,SATISFIABLE
Timetable_C_392_E_62_Cl_26_S_28.cnf,no_useful_detected_structure,D_lkk_kissat,31918.653235,SATISFIABLE
uf200-05.cnf,resource_allocation_like,C_lkk_cadical,218.404406,SATISFIABLE
uf200-05.cnf,resource_allocation_like,D_lkk_kissat,117.233567,SATISFIABLE
1-TC-256-K-71.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,50060.009985,UNSATISFIABLE
1-TC-256-K-71.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,60057.324639,TIMEOUT
uuf250-033.cnf,resource_allocation_like,C_lkk_cadical,7503.932158,UNSATISFIABLE
uuf250-033.cnf,resource_allocation_like,D_lkk_kissat,6045.463816,UNSATISFIABLE
pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,60032.984608,TIMEOUT
pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,60054.009875,TIMEOUT
uf200-037.cnf,resource_allocation_like,C_lkk_cadical,369.234011,SATISFIABLE
uf200-037.cnf,resource_allocation_like,D_lkk_kissat,418.577066,SATISFIABLE
REGRandom-K3-L3-Seed25.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,60012.706884,TIMEOUT
REGRandom-K3-L3-Seed25.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,5688.999748,UNSATISFIABLE
flat75-93.cnf,resource_allocation_like,C_lkk_cadical,18.798865,SATISFIABLE
flat75-93.cnf,resource_allocation_like,D_lkk_kissat,67.54125,SATISFIABLE
