timeout_s,instance,stratum,domain,mode,runtime_ms,status,timed_out,derived_from_timeout_s
5.0,Folkman-180-5383714.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60052.283836,TIMEOUT,True,60.0
5.0,Folkman-180-5383714.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60047.95035,TIMEOUT,True,60.0
5.0,Dodecahedron-k7.cnf,no_useful_detected_structure,competition_main,A_cadical,60012.713541,TIMEOUT,True,60.0
5.0,Dodecahedron-k7.cnf,no_useful_detected_structure,competition_main,B_kissat,60007.161842,TIMEOUT,True,60.0
5.0,uf250-059.cnf,resource_allocation_like,random_control,A_cadical,18.131239,TIMEOUT,True,60.0
5.0,uf250-059.cnf,resource_allocation_like,random_control,B_kissat,17.535074,TIMEOUT,True,60.0
5.0,2bitadd_10.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,9500.692434,TIMEOUT,True,60.0
5.0,2bitadd_10.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,3328.036456,UNSATISFIABLE,False,60.0
5.0,bmc-galileo-9.cnf,no_useful_detected_structure,eda_formal_verification,A_cadical,1972.449551,SATISFIABLE,False,60.0
5.0,bmc-galileo-9.cnf,no_useful_detected_structure,eda_formal_verification,B_kissat,819.749263,SATISFIABLE,False,60.0
5.0,uuf200-07.cnf,resource_allocation_like,random_control,A_cadical,17.886025,TIMEOUT,True,60.0
5.0,uuf200-07.cnf,resource_allocation_like,random_control,B_kissat,17.944758,TIMEOUT,True,60.0
5.0,mp1-Nb5T15.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,18941.611733,TIMEOUT,True,60.0
5.0,mp1-Nb5T15.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60046.868308,TIMEOUT,True,60.0
5.0,par32-3.cnf,no_useful_detected_structure,crafted_parity,A_cadical,60042.518529,TIMEOUT,True,60.0
5.0,par32-3.cnf,no_useful_detected_structure,crafted_parity,B_kissat,60037.311109,TIMEOUT,True,60.0
5.0,flat200-77.cnf,resource_allocation_like,matching_capacity,A_cadical,66.582019,SATISFIABLE,False,60.0
5.0,flat200-77.cnf,resource_allocation_like,matching_capacity,B_kissat,66.603133,SATISFIABLE,False,60.0
5.0,mdp-36-10-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60050.041749,TIMEOUT,True,60.0
5.0,mdp-36-10-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60048.343223,TIMEOUT,True,60.0
5.0,hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,1972.783349,UNSATISFIABLE,False,60.0
5.0,hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,267.196369,UNSATISFIABLE,False,60.0
5.0,flat200-96.cnf,resource_allocation_like,matching_capacity,A_cadical,116.087844,SATISFIABLE,False,60.0
5.0,flat200-96.cnf,resource_allocation_like,matching_capacity,B_kissat,66.297401,SATISFIABLE,False,60.0
