instance,stratum,domain,mode,measured_at_timeout_s,runtime_ms,status,timed_out
Dodecahedron-k7.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60007.161842,TIMEOUT,True
uf250-059.cnf,resource_allocation_like,random_control,A_cadical,60.0,18.131239,UNKNOWN,False
uf250-059.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.535074,UNKNOWN,False
2bitadd_10.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,60.0,9500.692434,UNSATISFIABLE,False
2bitadd_10.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,60.0,3328.036456,UNSATISFIABLE,False
bmc-galileo-9.cnf,no_useful_detected_structure,eda_formal_verification,A_cadical,60.0,1972.449551,SATISFIABLE,False
bmc-galileo-9.cnf,no_useful_detected_structure,eda_formal_verification,B_kissat,60.0,819.749263,SATISFIABLE,False
uuf200-07.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.886025,UNKNOWN,False
uuf200-07.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.944758,UNKNOWN,False
mp1-Nb5T15.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60.0,18941.611733,SATISFIABLE,False
mp1-Nb5T15.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60.0,60046.868308,TIMEOUT,True
par32-3.cnf,no_useful_detected_structure,crafted_parity,A_cadical,60.0,60042.518529,TIMEOUT,True
par32-3.cnf,no_useful_detected_structure,crafted_parity,B_kissat,60.0,60037.311109,TIMEOUT,True
flat200-77.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.582019,SATISFIABLE,False
flat200-77.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,66.603133,SATISFIABLE,False
mdp-36-10-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60.0,60050.041749,TIMEOUT,True
mdp-36-10-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60.0,60048.343223,TIMEOUT,True
hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,1972.783349,UNSATISFIABLE,False
hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,267.196369,UNSATISFIABLE,False
flat200-96.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,116.087844,SATISFIABLE,False
flat200-96.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,66.297401,SATISFIABLE,False
4blocksb.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,60.0,116.414183,SATISFIABLE,False
4blocksb.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,60.0,117.150149,SATISFIABLE,False
g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60004.418124,TIMEOUT,True
g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60049.553695,TIMEOUT,True
uf250-086.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.472583,UNKNOWN,False
uf250-086.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.48281,UNKNOWN,False
