instance,solver,seed,status,timed_out,exit_code,runtime_seconds,raw_log
benchmark/cnfs/smoke/sat.cnf,cadical,1,SATISFIABLE,False,10,0.060565791,results/phase1/20260816Tphase1baseline03Z/logs/validation/sat__cadical.log
benchmark/cnfs/smoke/sat.cnf,kissat,1,SATISFIABLE,False,10,0.024723424,results/phase1/20260816Tphase1baseline03Z/logs/validation/sat__kissat.log
benchmark/cnfs/smoke/unsat.cnf,cadical,1,UNSATISFIABLE,False,20,0.044633337,results/phase1/20260816Tphase1baseline03Z/logs/validation/unsat__cadical.log
benchmark/cnfs/smoke/unsat.cnf,kissat,1,UNSATISFIABLE,False,20,0.027151355,results/phase1/20260816Tphase1baseline03Z/logs/validation/unsat__kissat.log
