instance,family,noise_percent,hidden,budget_probe,expected_result,lkk_hybrid_result,structural_result,witness_valid,fallback_used,cadical_result,kissat_result,cadical_ms,cadical_timed_out,cadical_exit_code,cadical_log,kissat_ms,kissat_timed_out,kissat_exit_code,kissat_log,mismatch
001_pigeonhole_exact1_noise0.cnf,pigeonhole_exact1,0,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,68.760446,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/001_pigeonhole_exact1_noise0__cadical.log,18.924099,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/001_pigeonhole_exact1_noise0__kissat.log,False
002_pigeonhole_exact1_noise50.cnf,pigeonhole_exact1,50,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.028846,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/002_pigeonhole_exact1_noise50__cadical.log,20.081633,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/002_pigeonhole_exact1_noise50__kissat.log,False
003_pigeonhole_exact1_noise100.cnf,pigeonhole_exact1,100,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,66.891604,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/003_pigeonhole_exact1_noise100__cadical.log,19.091799,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/003_pigeonhole_exact1_noise100__kissat.log,False
004_pigeonhole_exact1_noise200.cnf,pigeonhole_exact1,200,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.366008,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/004_pigeonhole_exact1_noise200__cadical.log,19.149878,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/004_pigeonhole_exact1_noise200__kissat.log,False
005_exact_r_allocation_noise0.cnf,exact_r_allocation,0,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,33.929717,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/005_exact_r_allocation_noise0__cadical.log,19.131553,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/005_exact_r_allocation_noise0__kissat.log,False
006_exact_r_allocation_noise50.cnf,exact_r_allocation,50,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,68.245126,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/006_exact_r_allocation_noise50__cadical.log,18.731890,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/006_exact_r_allocation_noise50__kissat.log,False
007_exact_r_allocation_noise100.cnf,exact_r_allocation,100,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.121276,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/007_exact_r_allocation_noise100__cadical.log,18.687577,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/007_exact_r_allocation_noise100__kissat.log,False
008_exact_r_allocation_noise200.cnf,exact_r_allocation,200,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.537808,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/008_exact_r_allocation_noise200__cadical.log,18.724227,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/008_exact_r_allocation_noise200__kissat.log,False
009_bipartite_matching_noise0.cnf,bipartite_matching,0,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.481168,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/009_bipartite_matching_noise0__cadical.log,19.319595,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/009_bipartite_matching_noise0__kissat.log,False
010_bipartite_matching_noise50.cnf,bipartite_matching,50,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.621764,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/010_bipartite_matching_noise50__cadical.log,18.929505,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/010_bipartite_matching_noise50__kissat.log,False
