benefit_gate_decision,benefit_gate_ms,benefit_gate_reason,boxes_found,cnf_sha256,fallback_cdcl_ms,fallback_exit_code,fallback_status,fallback_timed_out,fallback_used,final_result,flow_edges,flow_ms,flow_nodes,gate_decision,gate_ms,gate_reason,gate_signals,instance,maximum_flow,recovery_ms,recovery_reason,recovery_status,registry_ms,registry_reason,registry_status,resources_found,structural_result,total_demand,total_lkk_hybrid_ms,witness_file,witness_valid,peak_rss_kb,hybrid_log,fallback_log
RUN_LKK,0.004329,"deterministic_accept(signal_count=34,clauses=34)",4,4430a60d48d75bb573ef05438155619d70f3b92ca471e9d991bca176013eecf1,0.0,,NOT_RUN,False,False,UNSATISFIABLE,19,0.079931,9,RUN_LKK,0.137956,monotone_cardinality_signal,"{""estimated_resolution_pairs"":60,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":30,""monotone_positive_clauses"":4}",001_pigeonhole_exact1_noise0.cnf,3,0.108283,fixed_point,COMPLETE,0.621662,sound_exact_r_and_capacity_families,COMPLETE,3,UNSAT,4,17.986184,results/phase2/20260816Tphase2candidate01Z/logs/witnesses/001_pigeonhole_exact1_noise0.witness.json,True,18584,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/001_pigeonhole_exact1_noise0.log,
RUN_LKK,0.003493,"deterministic_accept(signal_count=36,clauses=51)",4,9a2737fb745844db1b7bf22acf6254f38ef6a03915d5ea38b318ceba0f73716e,0.0,,NOT_RUN,False,False,UNSATISFIABLE,19,0.074515,9,RUN_LKK,0.215939,monotone_cardinality_signal,"{""estimated_resolution_pairs"":120,""mirror_pairs"":0,""mixed_clauses"":15,""monotone_negative_clauses"":32,""monotone_positive_clauses"":4}",002_pigeonhole_exact1_noise50.cnf,3,0.150487,fixed_point,COMPLETE,0.709339,sound_exact_r_and_capacity_families,COMPLETE,3,UNSAT,4,16.303462,results/phase2/20260816Tphase2candidate01Z/logs/witnesses/002_pigeonhole_exact1_noise50.witness.json,True,18576,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/002_pigeonhole_exact1_noise50.log,
RUN_LKK,0.004924,"deterministic_accept(signal_count=42,clauses=68)",4,741a6b704f679a80883269db607eb97d3a72fb0ca3c79ff6a4f07aac562de7e1,0.0,,NOT_RUN,False,False,UNSATISFIABLE,19,0.086069,9,RUN_LKK,0.338482,monotone_cardinality_signal,"{""estimated_resolution_pairs"":198,""mirror_pairs"":0,""mixed_clauses"":26,""monotone_negative_clauses"":32,""monotone_positive_clauses"":10}",003_pigeonhole_exact1_noise100.cnf,3,0.230273,fixed_point,COMPLETE,0.848365,sound_exact_r_and_capacity_families,COMPLETE,3,UNSAT,4,20.480207,results/phase2/20260816Tphase2candidate01Z/logs/witnesses/003_pigeonhole_exact1_noise100.witness.json,True,18720,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/003_pigeonhole_exact1_noise100.log,
RUN_LKK,0.003731,"deterministic_accept(signal_count=52,clauses=102)",4,96fcf5e8a68933471b56bd40bc119ae68914711aabf4f55f212b36cab5d9e8c2,0.0,,NOT_RUN,False,False,UNSATISFIABLE,19,0.06773,9,RUN_LKK,0.441663,monotone_cardinality_signal,"{""estimated_resolution_pairs"":365,""mirror_pairs"":1,""mixed_clauses"":52,""monotone_negative_clauses"":39,""monotone_positive_clauses"":11}",004_pigeonhole_exact1_noise200.cnf,3,0.289141,fixed_point,COMPLETE,0.808666,sound_exact_r_and_capacity_families,COMPLETE,3,UNSAT,4,16.725594,results/phase2/20260816Tphase2candidate01Z/logs/witnesses/004_pigeonhole_exact1_noise200.witness.json,True,18892,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/004_pigeonhole_exact1_noise200.log,
RUN_LKK,0.003653,"deterministic_accept(signal_count=60,clauses=60)",3,e2f9712a853120325a8c1e7b9c3316051842b7ab87ad141d24be41770a559626,0.0,,NOT_RUN,False,False,UNSATISFIABLE,23,0.082683,10,RUN_LKK,0.291019,monotone_cardinality_signal,"{""estimated_resolution_pairs"":480,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":45,""monotone_positive_clauses"":15}",005_exact_r_allocation_noise0.cnf,5,0.171459,fixed_point,COMPLETE,4.034143,sound_exact_r_and_capacity_families,COMPLETE,5,UNSAT,6,20.644429,results/phase2/20260816Tphase2candidate01Z/logs/witnesses/005_exact_r_allocation_noise0.witness.json,True,18772,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/005_exact_r_allocation_noise0.log,
RUN_LKK,0.004078,"deterministic_accept(signal_count=64,clauses=90)",3,0ec57f4aea24cf1af4078cb2266405aa58ad793dc2e248b89aa763d89120bf91,0.0,,NOT_RUN,False,False,UNSATISFIABLE,23,0.086429,10,RUN_LKK,0.464424,monotone_cardinality_signal,"{""estimated_resolution_pairs"":604,""mirror_pairs"":0,""mixed_clauses"":26,""monotone_negative_clauses"":46,""monotone_positive_clauses"":18}",006_exact_r_allocation_noise50.cnf,5,0.261544,fixed_point,COMPLETE,4.239105,sound_exact_r_and_capacity_families,COMPLETE,5,UNSAT,6,20.896655,results/phase2/20260816Tphase2candidate01Z/logs/witnesses/006_exact_r_allocation_noise50.witness.json,True,18696,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/006_exact_r_allocation_noise50.log,
RUN_LKK,0.004419,"deterministic_accept(signal_count=80,clauses=120)",3,f05f8fddcb6cc2821091cde961194afd070ba0806c225593eaaed36d353a5c4c,0.0,,NOT_RUN,False,False,UNSATISFIABLE,23,0.087568,10,RUN_LKK,0.674162,monotone_cardinality_signal,"{""estimated_resolution_pairs"":716,""mirror_pairs"":0,""mixed_clauses"":40,""monotone_negative_clauses"":57,""monotone_positive_clauses"":23}",007_exact_r_allocation_noise100.cnf,5,0.434073,fixed_point,COMPLETE,4.741112,sound_exact_r_and_capacity_families,COMPLETE,5,UNSAT,6,23.38217,results/phase2/20260816Tphase2candidate01Z/logs/witnesses/007_exact_r_allocation_noise100.witness.json,True,18744,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/007_exact_r_allocation_noise100.log,
RUN_LKK,0.005773,"deterministic_accept(signal_count=92,clauses=180)",3,962dc0e25d19b5a9fb279b60199b7515f3513373dad0da5cca56317a699a3da9,0.0,,NOT_RUN,False,False,UNSATISFIABLE,23,0.105694,10,RUN_LKK,1.084417,monotone_cardinality_signal,"{""estimated_resolution_pairs"":1028,""mirror_pairs"":0,""mixed_clauses"":88,""monotone_negative_clauses"":63,""monotone_positive_clauses"":29}",008_exact_r_allocation_noise200.cnf,5,0.762353,fixed_point,COMPLETE,6.433033,sound_exact_r_and_capacity_families,COMPLETE,5,UNSAT,6,28.422605,results/phase2/20260816Tphase2candidate01Z/logs/witnesses/008_exact_r_allocation_noise200.witness.json,True,18852,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/008_exact_r_allocation_noise200.log,
RUN_LKK,0.004189,"deterministic_accept(signal_count=12,clauses=12)",4,c6b23e4bdfb090952ba203369ea81e79c65d4ae3881ec094e9e42c7e3039a4d1,33.624233,10,SATISFIABLE,False,True,SATISFIABLE,16,0.04882,10,RUN_LKK,0.081726,monotone_cardinality_signal,"{""estimated_resolution_pairs"":16,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":8,""monotone_positive_clauses"":4}",009_bipartite_matching_noise0.cnf,4,0.058101,fixed_point,COMPLETE,0.196827,sound_exact_r_and_capacity_families,COMPLETE,4,FEASIBLE,4,46.644207,,False,18648,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/009_bipartite_matching_noise0.log,results/phase2/20260816Tphase2candidate01Z/logs/fallback/009_bipartite_matching_noise0__cadical.log
RUN_LKK,0.00335,"deterministic_accept(signal_count=15,clauses=18)",4,9e62dc26521fbbda9625cbfeabde2ed816aa4190c9a8fc71931a1409c8470791,66.407656,10,SATISFIABLE,False,True,SATISFIABLE,16,0.049519,10,RUN_LKK,0.085599,monotone_cardinality_signal,"{""estimated_resolution_pairs"":24,""mirror_pairs"":0,""mixed_clauses"":3,""monotone_negative_clauses"":9,""monotone_positive_clauses"":6}",010_bipartite_matching_noise50.cnf,4,0.119577,fixed_point,COMPLETE,0.193571,sound_exact_r_and_capacity_families,COMPLETE,4,FEASIBLE,4,80.432462,,False,18552,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/010_bipartite_matching_noise50.log,results/phase2/20260816Tphase2candidate01Z/logs/fallback/010_bipartite_matching_noise50__cadical.log
RUN_LKK,0.003311,"deterministic_accept(signal_count=16,clauses=24)",4,a0f9fa0863856e289b20b689d0f2186e6a8bd67f7faf3dce726136816f835a89,33.396384,10,SATISFIABLE,False,True,SATISFIABLE,16,0.052604,10,RUN_LKK,0.123323,monotone_cardinality_signal,"{""estimated_resolution_pairs"":50,""mirror_pairs"":0,""mixed_clauses"":8,""monotone_negative_clauses"":11,""monotone_positive_clauses"":5}",011_bipartite_matching_noise100.cnf,4,0.083182,fixed_point,COMPLETE,0.221052,sound_exact_r_and_capacity_families,COMPLETE,4,FEASIBLE,4,45.436764,,False,18604,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/011_bipartite_matching_noise100.log,results/phase2/20260816Tphase2candidate01Z/logs/fallback/011_bipartite_matching_noise100__cadical.log
RUN_LKK,0.003736,"deterministic_accept(signal_count=17,clauses=36)",4,25c2514b9c6e2c0cac6927d658c2bd36c56f9389bc0257654a58b3a3d498db2e,33.509124,10,SATISFIABLE,False,True,SATISFIABLE,16,0.048292,10,RUN_LKK,0.177789,monotone_cardinality_signal,"{""estimated_resolution_pairs"":123,""mirror_pairs"":1,""mixed_clauses"":21,""monotone_negative_clauses"":11,""monotone_positive_clauses"":4}",012_bipartite_matching_noise200.cnf,4,0.114667,fixed_point,COMPLETE,0.198254,sound_exact_r_and_capacity_families,COMPLETE,4,FEASIBLE,4,45.788608,,False,18580,results/phase2/20260816Tphase2candidate01Z/logs/hybrid/012_bipartite_matching_noise200.log,results/phase2/20260816Tphase2candidate01Z/logs/fallback/012_bipartite_matching_noise200__cadical.log
