instance,family,noise_percent,hidden,expected_result,lkk_hybrid_result,structural_result,witness_valid,fallback_used,cadical_result,kissat_result,cadical_ms,cadical_timed_out,cadical_exit_code,cadical_log,kissat_ms,kissat_timed_out,kissat_exit_code,kissat_log,mismatch
015_overlapping_hall_violation_noise100.cnf,overlapping_hall_violation,100,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.669120,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/015_overlapping_hall_violation_noise100__cadical.log,18.271262,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/015_overlapping_hall_violation_noise100__kissat.log,False
016_overlapping_hall_violation_noise200.cnf,overlapping_hall_violation,200,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.258908,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/016_overlapping_hall_violation_noise200__cadical.log,10.045573,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/016_overlapping_hall_violation_noise200__kissat.log,False
017_satisfiable_capacity_control_noise0.cnf,satisfiable_capacity_control,0,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.618131,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/017_satisfiable_capacity_control_noise0__cadical.log,9.856867,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/017_satisfiable_capacity_control_noise0__kissat.log,False
018_satisfiable_capacity_control_noise50.cnf,satisfiable_capacity_control,50,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.242160,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/018_satisfiable_capacity_control_noise50__cadical.log,10.115777,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/018_satisfiable_capacity_control_noise50__kissat.log,False
019_satisfiable_capacity_control_noise100.cnf,satisfiable_capacity_control,100,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.166411,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/019_satisfiable_capacity_control_noise100__cadical.log,10.009073,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/019_satisfiable_capacity_control_noise100__kissat.log,False
020_satisfiable_capacity_control_noise200.cnf,satisfiable_capacity_control,200,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,36.131903,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/020_satisfiable_capacity_control_noise200__cadical.log,10.281425,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/020_satisfiable_capacity_control_noise200__kissat.log,False
021_capacity_violation_noise0.cnf,capacity_violation,0,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.329785,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/021_capacity_violation_noise0__cadical.log,18.684346,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/021_capacity_violation_noise0__kissat.log,False
022_capacity_violation_noise50.cnf,capacity_violation,50,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.248813,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/022_capacity_violation_noise50__cadical.log,17.960349,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/022_capacity_violation_noise50__kissat.log,False
023_capacity_violation_noise100.cnf,capacity_violation,100,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.886044,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/023_capacity_violation_noise100__cadical.log,18.140545,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/023_capacity_violation_noise100__kissat.log,False
024_capacity_violation_noise200.cnf,capacity_violation,200,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.059673,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/024_capacity_violation_noise200__cadical.log,18.080800,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/024_capacity_violation_noise200__kissat.log,False
025_hidden_cardinality_noise0.cnf,hidden_cardinality,0,True,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,70.067053,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/025_hidden_cardinality_noise0__cadical.log,19.710699,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/025_hidden_cardinality_noise0__kissat.log,False
026_hidden_cardinality_noise50.cnf,hidden_cardinality,50,True,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.452068,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/026_hidden_cardinality_noise50__cadical.log,19.634268,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/026_hidden_cardinality_noise50__kissat.log,False
027_hidden_cardinality_noise100.cnf,hidden_cardinality,100,True,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.162280,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/027_hidden_cardinality_noise100__cadical.log,18.022686,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/027_hidden_cardinality_noise100__kissat.log,False
028_hidden_cardinality_noise200.cnf,hidden_cardinality,200,True,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.771834,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/028_hidden_cardinality_noise200__cadical.log,17.943418,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/028_hidden_cardinality_noise200__kissat.log,False
