instance,mode,seed,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,fallback_ms,fallback_serialize_ms,fallback_overhead_ms,total_end_to_end_ms,structural_result,fallback_used,peak_rss_kb
ssa2670-141.cnf,C_lkk_cadical,1,3.79796,0.46945,0.98894,1.19304,0,0,3.1041,0,0,11.4051,UNKNOWN,True,5800
ssa2670-141.cnf,D_lkk_kissat,1,4.14876,0.497449,0.967916,1.22758,0,0,38.3245,3.1884,21.5129,59.9279,UNKNOWN,True,4692
ssa2670-141.cnf,E_lkk_selector,1,4.06107,0.543837,0.972947,1.2342,0,0,35.5175,2.7626,28.2801,55.989,UNKNOWN,True,4640
ssa6288-047.cnf,C_lkk_cadical,1,25.8783,9.35767,15.5478,14.6937,0,0,5.81653,0,0,82.2359,UNKNOWN,True,18396
ssa6288-047.cnf,D_lkk_kissat,1,20.0982,7.32727,11.8545,12.5045,0,0,17.8663,12.1995,12.1995,99.7193,UNKNOWN,True,16636
ssa6288-047.cnf,E_lkk_selector,1,26.0579,7.83749,13.0743,13.9801,0,0,20.0758,16.8993,16.8993,118.946,UNKNOWN,True,16708
ssa7552-038.cnf,C_lkk_cadical,1,12.2824,0.72396,1.6708,1.66414,0,0,1.49863,0,0,19.3968,UNKNOWN,True,6032
ssa7552-038.cnf,D_lkk_kissat,1,5.04528,0.763919,1.65737,1.95441,0,0,20.4251,3.90383,3.90383,45.3427,UNKNOWN,True,5088
ssa7552-038.cnf,E_lkk_selector,1,5.12307,0.678811,1.49552,1.57268,0,0,16.4275,3.04874,3.04874,39.5823,UNKNOWN,True,5136
ssa7552-158.cnf,D_lkk_kissat,1,14.636,0.697754,1.48002,1.51015,0,0,17.6199,3.24091,3.24091,49.7637,UNKNOWN,True,5008
ssa7552-158.cnf,E_lkk_selector,1,3.58966,0.490575,1.08456,1.169,0,0,18.7455,2.40371,2.40371,39.252,UNKNOWN,True,4828
ssa7552-158.cnf,C_lkk_cadical,1,4.9414,0.667321,1.5041,1.50654,0,0,0.979165,0,0,11.1658,UNKNOWN,True,5956
ssa7552-160.cnf,E_lkk_selector,1,15.8491,0.672931,1.60199,1.65062,0,0,21.5228,3.31605,3.31605,56.787,UNKNOWN,True,4940
ssa7552-160.cnf,C_lkk_cadical,1,4.63074,0.619833,1.33962,1.39505,0,0,1.27002,0,0,10.7028,UNKNOWN,True,6004
ssa7552-160.cnf,D_lkk_kissat,1,5.00704,0.720454,1.5169,1.51716,0,0,21.2881,2.67987,2.67987,45.0381,UNKNOWN,True,4868
bf1355-075.cnf,C_lkk_cadical,1,7.78532,1.42608,2.89955,3.25737,0,0,3.57902,0,0,22.2301,UNKNOWN,True,7100
bf1355-075.cnf,D_lkk_kissat,1,7.30195,1.37616,2.51692,2.92763,0,0,27.9294,4.29645,22.2259,61.6027,UNKNOWN,True,6028
bf1355-075.cnf,E_lkk_selector,1,8.01047,1.70295,3.49652,3.67073,0,0,29.1636,4.72251,23.8861,67.446,UNKNOWN,True,5968
bf1355-638.cnf,C_lkk_cadical,1,7.33381,1.54683,2.8845,3.22125,0,0,2.93517,0,0,21.6013,UNKNOWN,True,7352
bf1355-638.cnf,D_lkk_kissat,1,6.86122,1.6901,2.58436,2.67914,0,0,19.6805,3.85073,13.5312,48.7603,UNKNOWN,True,6108
bf1355-638.cnf,E_lkk_selector,1,6.11583,1.4976,2.7833,3.19182,0,0,29.282,4.54638,23.8284,61.7809,UNKNOWN,True,6052
bf2670-001.cnf,C_lkk_cadical,1,11.1571,0.730559,1.51032,1.78152,0,0,1.72123,0,0,18.7281,UNKNOWN,True,6216
bf2670-001.cnf,D_lkk_kissat,1,4.33024,0.786573,1.33967,1.73752,0,0,21.5216,2.63537,14.157,41.7241,UNKNOWN,True,5152
bf2670-001.cnf,E_lkk_selector,1,4.38251,0.758723,1.37238,1.81217,0,0,25.5304,2.81852,18.3489,47.1317,UNKNOWN,True,5116
2bitadd_11.cnf,D_lkk_kissat,1,13.4995,0.298014,0.505559,0.31777,0,0,55.2597,2.37675,17.6364,84.4738,UNKNOWN,True,4580
2bitadd_11.cnf,E_lkk_selector,1,3.46436,0.320204,0.55693,0.344757,0,0,55.7227,2.03248,17.7552,72.7511,UNKNOWN,True,4488
2bitadd_11.cnf,C_lkk_cadical,1,2.71788,0.260517,0.45954,0.28788,0,0,6.28766,0,0,11.2963,UNKNOWN,True,5856
2bitcomp_5.cnf,E_lkk_selector,1,9.12383,0.060973,0.10785,0.071093,0,0,13.4428,1.38194,1.38194,33.4632,UNKNOWN,True,4036
2bitcomp_5.cnf,C_lkk_cadical,1,2.67843,0.082281,0.136832,0.079518,0,0,0.259846,0,0,4.02967,UNKNOWN,True,4800
2bitcomp_5.cnf,D_lkk_kissat,1,2.40893,0.082148,0.161248,0.084755,0,0,8.61951,1.38972,1.38972,23.1828,UNKNOWN,True,4108
2bitmax_6.cnf,C_lkk_cadical,1,3.00389,0.166226,0.290954,0.155393,0,0,0.333709,0,0,4.95634,UNKNOWN,True,5048
2bitmax_6.cnf,D_lkk_kissat,1,2.90545,0.19233,0.29454,0.148622,0,0,14.7196,1.68193,1.68193,29.6051,UNKNOWN,True,4268
2bitmax_6.cnf,E_lkk_selector,1,2.6644,0.154661,0.288071,0.143137,0,0,17.0142,1.61518,1.61518,30.9434,UNKNOWN,True,4148
3bitadd_31.cnf,C_lkk_cadical,1,27.6733,9.27898,11.4377,6.2709,0,0,815.169,0,0,876.573,UNKNOWN,True,23252
3bitadd_31.cnf,D_lkk_kissat,1,19.5663,8.46403,13.6934,7.22154,0,0,323.299,16.1131,49.4122,404.421,UNKNOWN,True,12540
3bitadd_31.cnf,E_lkk_selector,1,25.7782,9.91811,12.3182,6.40796,0,0,352.606,14.9855,57.5916,435.616,UNKNOWN,True,12552
3bitadd_32.cnf,C_lkk_cadical,1,25.7254,7.06219,9.10452,4.82088,0,0,162.202,0,0,213.848,UNKNOWN,True,23748
3bitadd_32.cnf,D_lkk_kissat,1,22.0019,8.45384,9.86996,4.84699,0,0,320.446,10.515,40.961,391.917,UNKNOWN,True,12872
3bitadd_32.cnf,E_lkk_selector,1,19.5356,7.46615,8.84547,4.77136,0,0,278.677,11.5589,40.2359,342.074,UNKNOWN,True,12792
3blocks.cnf,D_lkk_kissat,1,13.2917,1.36144,2.31421,13.7392,0,0,72.7495,5.58161,28.3312,119.357,UNKNOWN,True,6732
3blocks.cnf,E_lkk_selector,1,7.37373,1.32878,2.39204,17.2069,0,0,8.51497,0,0,40.0869,UNKNOWN,True,7624
3blocks.cnf,C_lkk_cadical,1,6.95521,1.38913,2.39008,13.6832,0,0,5.59565,0,0,32.5971,UNKNOWN,True,7792
4blocks.cnf,E_lkk_selector,1,34.2263,10.4984,0,0,0,0,150.23,0,0,200.598,UNKNOWN,True,17060
4blocks.cnf,C_lkk_cadical,1,42.0231,12.0287,0,0,0,0,169.16,0,0,229.327,UNKNOWN,True,16672
4blocks.cnf,D_lkk_kissat,1,28.1501,10.3756,0,0,0,0,179.147,18.499,37.6461,247.776,UNKNOWN,True,10776
e0ddr2-10-by-5-1.cnf,C_lkk_cadical,1,56.7593,24.6867,0,0,0,0,20.7079,0,0,114.354,UNKNOWN,True,25940
e0ddr2-10-by-5-1.cnf,D_lkk_kissat,1,61.2948,29.9423,0,0,0,0,135.831,32.7112,58.5427,278.522,UNKNOWN,True,19368
e0ddr2-10-by-5-1.cnf,E_lkk_selector,1,61.7592,35.2823,0,0,0,0,128.075,41.0513,59.1266,287.072,UNKNOWN,True,19112
enddr2-10-by-5-1.cnf,C_lkk_cadical,1,81.7062,52.0615,0,0,0,0,27.4337,0,0,186.403,UNKNOWN,True,29432
enddr2-10-by-5-1.cnf,D_lkk_kissat,1,77.7441,30.9139,0,0,0,0,41.6555,39.2433,60.8989,206.778,UNKNOWN,True,20108
enddr2-10-by-5-1.cnf,E_lkk_selector,1,62.612,36.3252,0,0,0,0,46.4361,43.378,69.8141,218.57,UNKNOWN,True,20096
enddr2-10-by-5-8.cnf,C_lkk_cadical,1,79.7115,36.4586,0,0,0,0,20.019,0,0,149.667,UNKNOWN,True,29580
enddr2-10-by-5-8.cnf,D_lkk_kissat,1,59.9968,27.6095,0,0,0,0,35.151,34.766,49.9171,173.754,UNKNOWN,True,20488
enddr2-10-by-5-8.cnf,E_lkk_selector,1,86.9636,27.8969,0,0,0,0,35.3591,36.1318,51.4909,206.747,UNKNOWN,True,20812
ewddr2-10-by-5-1.cnf,D_lkk_kissat,1,79.2664,39.9832,0,0,0,0,37.3539,40.2536,57.6074,221.978,UNKNOWN,True,21164
ewddr2-10-by-5-1.cnf,E_lkk_selector,1,74.7713,39.0229,0,0,0,0,34.8098,41.7796,56.5894,215.082,UNKNOWN,True,21188
ewddr2-10-by-5-1.cnf,C_lkk_cadical,1,67.8467,31.6183,0,0,0,0,23.5578,0,0,137.606,UNKNOWN,True,29832
ewddr2-10-by-5-8.cnf,E_lkk_selector,1,75.3916,35.0164,0,0,0,0,111.062,38.9663,60.0282,278.042,UNKNOWN,True,21864
ewddr2-10-by-5-8.cnf,C_lkk_cadical,1,80.4859,31.926,0,0,0,0,23.4608,0,0,149.645,UNKNOWN,True,30496
ewddr2-10-by-5-8.cnf,D_lkk_kissat,1,90.1856,35.7503,0,0,0,0,142.728,40.3042,73.0318,328.812,UNKNOWN,True,21704
