mode,runs,solved,timeouts,unknown,par2_total_ms,par2_mean_ms,median_runtime_ms,geomean_commonly_solved_ms,commonly_solved,peak_rss_kb_median
A_cadical,954,786,168,0,21630240.336714003,22673.207900119498,117.467633,229.19009870167974,772,2168.0
B_kissat,954,791,163,0,20746662.596297,21747.02578228197,67.401883,122.31204244321643,772,1744.0
C_lkk_cadical,954,781,173,0,22019371.850112002,23081.102568251572,66.860785,119.4911282114174,772,5722.0
D_lkk_kissat,954,787,167,0,21149651.709941998,22169.446236836477,116.815241,195.99636983341588,772,4388.0
E_lkk_selector,954,787,167,0,21171481.514342,22192.328631385742,116.665315,177.62051249594145,772,4458.0
