instance,stratum,domain,selector_choice,selector_reason,lkk_cadical_par2_ms,lkk_kissat_par2_ms,selector_par2_ms,oracle_par2_ms,regret_ms,picked_faster,harmful,tie,selector_ms
jnh3.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=17,registry=UNKNOWN)",34.523449,66.787862,67.058187,34.523449,32.534738000000004,False,True,False,
jnh302.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=21,registry=UNKNOWN)",18.040039,66.705662,67.170298,18.040039,49.130259,False,True,False,
jnh303.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=17,registry=UNKNOWN)",18.668522,67.468196,66.669004,18.668522,48.000482000000005,False,True,False,
jnh304.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=23,registry=UNKNOWN)",18.175196,67.23944,66.808066,18.175196,48.63287,False,True,False,
jnh305.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=18,registry=UNKNOWN)",18.058365,66.619419,67.01906,18.058365,48.960695,False,True,False,
jnh306.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=21,registry=UNKNOWN)",33.955685,66.566671,66.504666,33.955685,32.548981,False,True,False,
jnh308.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=17,registry=UNKNOWN)",18.574246,118.608306,66.956421,18.574246,48.382175000000004,False,True,False,
jnh309.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=23,registry=UNKNOWN)",17.467198,66.8619,66.929474,17.467198,49.462276,False,True,False,
jnh4.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=20,registry=UNKNOWN)",18.193824,67.196402,67.168603,18.193824,48.974779000000005,False,True,False,
jnh5.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=17,registry=UNKNOWN)",17.987447,67.168621,66.573016,17.987447,48.58556899999999,False,True,False,
jnh7.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=22,registry=UNKNOWN)",34.118374,66.428342,66.760558,34.118374,32.642184,False,True,False,
jnh8.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=16,registry=UNKNOWN)",18.400444,66.172821,66.927728,18.400444,48.527284,False,True,False,
jnh9.cnf,resource_allocation_like,crafted_structured,kissat,"open_cardinality_structure(boxes=21,registry=UNKNOWN)",17.749565,66.444178,66.009728,17.749565,48.26016299999999,False,True,False,
lec_mult_CvD_11x11.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
lec_mult_CvK_12x11.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
lec_mult_CvK_12x12.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
lec_mult_DvK_11x10.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
lec_mult_DvW_11x10.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
lec_mult_DvW_12x11.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
lec_mult_DvW_12x12.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
lec_mult_KvW_10x10.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
lec_mult_KvW_11x10.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
lec_mult_KvW_12x11.sanitized.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
logistics.b.cnf,cardinality_exact_r_heavy,planning_scheduling,kissat,"open_cardinality_structure(boxes=138,registry=UNKNOWN)",34.173008,116.508551,116.708369,34.173008,82.535361,False,True,False,
logistics.c.cnf,cardinality_exact_r_heavy,planning_scheduling,kissat,"open_cardinality_structure(boxes=162,registry=UNKNOWN)",34.010038,116.071052,166.607311,34.010038,132.597273,False,True,False,
logistics.d.cnf,cardinality_exact_r_heavy,planning_scheduling,kissat,"open_cardinality_structure(boxes=208,registry=UNKNOWN)",116.817788,167.3646,166.97733,116.817788,50.159542,False,True,False,
manol-pipe-g10bid_i.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
marg5x5.shuffled-as.sat03-1455.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mchess_15.cnf,structural_not_closed_by_flow,competition_main,,,120000.0,52767.446917,120000.0,52767.446917,67232.553083,False,True,False,
mchess_16.cnf,structural_not_closed_by_flow,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
