timeout_s,instance,stratum,domain,mode,runtime_ms,status,timed_out,derived_from_timeout_s
5.0,Folkman-180-5383714.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60007.418399,TIMEOUT,True,60.0
5.0,Folkman-180-5383714.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60053.594963,TIMEOUT,True,60.0
5.0,Dodecahedron-k7.cnf,no_useful_detected_structure,competition_main,A_cadical,60024.916169,TIMEOUT,True,60.0
5.0,Dodecahedron-k7.cnf,no_useful_detected_structure,competition_main,B_kissat,60005.117767,TIMEOUT,True,60.0
5.0,uf250-059.cnf,resource_allocation_like,random_control,A_cadical,468.237733,SATISFIABLE,False,60.0
5.0,uf250-059.cnf,resource_allocation_like,random_control,B_kissat,116.879368,SATISFIABLE,False,60.0
5.0,2bitadd_10.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,10256.248903,TIMEOUT,True,60.0
5.0,2bitadd_10.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,3278.250137,UNSATISFIABLE,False,60.0
5.0,bmc-galileo-9.cnf,no_useful_detected_structure,eda_formal_verification,A_cadical,2073.45648,SATISFIABLE,False,60.0
5.0,bmc-galileo-9.cnf,no_useful_detected_structure,eda_formal_verification,B_kissat,870.461035,SATISFIABLE,False,60.0
5.0,uuf200-07.cnf,resource_allocation_like,random_control,A_cadical,669.091455,UNSATISFIABLE,False,60.0
5.0,uuf200-07.cnf,resource_allocation_like,random_control,B_kissat,417.822901,UNSATISFIABLE,False,60.0
5.0,mp1-Nb5T15.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,19243.326041,TIMEOUT,True,60.0
5.0,mp1-Nb5T15.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60050.791741,TIMEOUT,True,60.0
5.0,par32-3.cnf,no_useful_detected_structure,crafted_parity,A_cadical,60046.195374,TIMEOUT,True,60.0
5.0,par32-3.cnf,no_useful_detected_structure,crafted_parity,B_kissat,60042.656551,TIMEOUT,True,60.0
5.0,flat200-77.cnf,resource_allocation_like,matching_capacity,A_cadical,66.522329,SATISFIABLE,False,60.0
5.0,flat200-77.cnf,resource_allocation_like,matching_capacity,B_kissat,66.340712,SATISFIABLE,False,60.0
5.0,mdp-36-10-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60046.528357,TIMEOUT,True,60.0
5.0,mdp-36-10-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60039.235019,TIMEOUT,True,60.0
5.0,hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,2224.911561,UNSATISFIABLE,False,60.0
5.0,hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,368.434035,UNSATISFIABLE,False,60.0
5.0,flat200-96.cnf,resource_allocation_like,matching_capacity,A_cadical,168.042793,SATISFIABLE,False,60.0
5.0,flat200-96.cnf,resource_allocation_like,matching_capacity,B_kissat,34.138495,SATISFIABLE,False,60.0
5.0,4blocksb.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,167.88853,SATISFIABLE,False,60.0
5.0,4blocksb.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,117.194195,SATISFIABLE,False,60.0
5.0,g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,competition_main,A_cadical,60008.106966,TIMEOUT,True,60.0
5.0,g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,competition_main,B_kissat,60015.280977,TIMEOUT,True,60.0
5.0,uf250-086.cnf,resource_allocation_like,random_control,A_cadical,618.104042,SATISFIABLE,False,60.0
5.0,uf250-086.cnf,resource_allocation_like,random_control,B_kissat,568.877337,SATISFIABLE,False,60.0
5.0,mdp-28-11-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,29480.976887,TIMEOUT,True,60.0
5.0,mdp-28-11-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60032.523611,TIMEOUT,True,60.0
5.0,mp1-Nb7T42.cnf,no_useful_detected_structure,competition_main,A_cadical,19795.52133,TIMEOUT,True,60.0
5.0,mp1-Nb7T42.cnf,no_useful_detected_structure,competition_main,B_kissat,60005.436532,TIMEOUT,True,60.0
5.0,jnh203.cnf,resource_allocation_like,crafted_structured,A_cadical,66.560948,UNSATISFIABLE,False,60.0
5.0,jnh203.cnf,resource_allocation_like,crafted_structured,B_kissat,17.74882,UNSATISFIABLE,False,60.0
5.0,par32-2-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,43878.455493,TIMEOUT,True,60.0
5.0,par32-2-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60036.959612,TIMEOUT,True,60.0
5.0,j3037_10_mdd_bm1.cnf,no_useful_detected_structure,competition_main,A_cadical,41826.977161,TIMEOUT,True,60.0
5.0,j3037_10_mdd_bm1.cnf,no_useful_detected_structure,competition_main,B_kissat,30778.536449,TIMEOUT,True,60.0
5.0,uuf250-026.cnf,resource_allocation_like,random_control,A_cadical,2023.194828,UNSATISFIABLE,False,60.0
5.0,uuf250-026.cnf,resource_allocation_like,random_control,B_kissat,1672.646977,UNSATISFIABLE,False,60.0
5.0,mdp-32-14-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60042.596405,TIMEOUT,True,60.0
5.0,mdp-32-14-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60053.753935,TIMEOUT,True,60.0
5.0,FmlaEquivChain_4_8_8.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60053.164029,TIMEOUT,True,60.0
5.0,FmlaEquivChain_4_8_8.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60015.906249,TIMEOUT,True,60.0
5.0,pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60009.936122,TIMEOUT,True,60.0
5.0,pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf,resource_allocation_like,competition_main,B_kissat,60037.288226,TIMEOUT,True,60.0
5.0,pret150_75.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,65.941188,UNSATISFIABLE,False,60.0
5.0,pret150_75.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,34.429191,UNSATISFIABLE,False,60.0
5.0,SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf,no_useful_detected_structure,competition_main,A_cadical,60016.011565,TIMEOUT,True,60.0
5.0,SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf,no_useful_detected_structure,competition_main,B_kissat,60021.344635,TIMEOUT,True,60.0
5.0,flat200-41.cnf,resource_allocation_like,matching_capacity,A_cadical,117.543958,SATISFIABLE,False,60.0
5.0,flat200-41.cnf,resource_allocation_like,matching_capacity,B_kissat,34.449925,SATISFIABLE,False,60.0
5.0,par32-5-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60021.109473,TIMEOUT,True,60.0
5.0,par32-5-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60012.085392,TIMEOUT,True,60.0
5.0,pcmax-scheduling-m12-8049-55035-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60045.963349,TIMEOUT,True,60.0
5.0,pcmax-scheduling-m12-8049-55035-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60050.577697,TIMEOUT,True,60.0
5.0,uf250-06.cnf,resource_allocation_like,random_control,A_cadical,368.20277,SATISFIABLE,False,60.0
5.0,uf250-06.cnf,resource_allocation_like,random_control,B_kissat,117.228278,SATISFIABLE,False,60.0
5.0,par16-4-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,116.706434,SATISFIABLE,False,60.0
5.0,par16-4-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,34.160177,SATISFIABLE,False,60.0
5.0,goldcrest-and-9.cnf,no_useful_detected_structure,competition_main,A_cadical,60022.975405,TIMEOUT,True,60.0
5.0,goldcrest-and-9.cnf,no_useful_detected_structure,competition_main,B_kissat,60020.449797,TIMEOUT,True,60.0
5.0,flat200-60.cnf,resource_allocation_like,matching_capacity,A_cadical,66.856402,SATISFIABLE,False,60.0
5.0,flat200-60.cnf,resource_allocation_like,matching_capacity,B_kissat,67.413354,SATISFIABLE,False,60.0
5.0,Timetable_C_392_E_62_Cl_26_S_28.cnf,no_useful_detected_structure,competition_main,A_cadical,60010.909979,TIMEOUT,True,60.0
5.0,Timetable_C_392_E_62_Cl_26_S_28.cnf,no_useful_detected_structure,competition_main,B_kissat,20504.92311,TIMEOUT,True,60.0
5.0,uf200-05.cnf,resource_allocation_like,random_control,A_cadical,518.781464,SATISFIABLE,False,60.0
5.0,uf200-05.cnf,resource_allocation_like,random_control,B_kissat,267.497722,SATISFIABLE,False,60.0
5.0,1-TC-256-K-71.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60054.462352,TIMEOUT,True,60.0
5.0,1-TC-256-K-71.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60047.384379,TIMEOUT,True,60.0
5.0,uuf250-033.cnf,resource_allocation_like,random_control,A_cadical,6642.375557,TIMEOUT,True,60.0
5.0,uuf250-033.cnf,resource_allocation_like,random_control,B_kissat,5888.681975,TIMEOUT,True,60.0
5.0,pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60047.646716,TIMEOUT,True,60.0
5.0,pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60051.749916,TIMEOUT,True,60.0
5.0,uf200-037.cnf,resource_allocation_like,random_control,A_cadical,66.238577,SATISFIABLE,False,60.0
5.0,uf200-037.cnf,resource_allocation_like,random_control,B_kissat,367.085754,SATISFIABLE,False,60.0
5.0,REGRandom-K3-L3-Seed25.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60007.073109,TIMEOUT,True,60.0
5.0,REGRandom-K3-L3-Seed25.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,1322.122058,UNSATISFIABLE,False,60.0
5.0,flat75-93.cnf,resource_allocation_like,matching_capacity,A_cadical,66.696206,SATISFIABLE,False,60.0
5.0,flat75-93.cnf,resource_allocation_like,matching_capacity,B_kissat,34.086956,SATISFIABLE,False,60.0
5.0,Break_triple_20_36.xml.cnf,no_useful_detected_structure,competition_main,A_cadical,60013.12208,TIMEOUT,True,60.0
5.0,Break_triple_20_36.xml.cnf,no_useful_detected_structure,competition_main,B_kissat,60007.214401,TIMEOUT,True,60.0
5.0,jnh310.cnf,resource_allocation_like,crafted_structured,A_cadical,66.275026,UNSATISFIABLE,False,60.0
5.0,jnh310.cnf,resource_allocation_like,crafted_structured,B_kissat,18.03171,UNSATISFIABLE,False,60.0
5.0,mp1-klieber2017s-0500-023-t12.cnf,no_useful_detected_structure,competition_main,A_cadical,60013.44298,TIMEOUT,True,60.0
5.0,mp1-klieber2017s-0500-023-t12.cnf,no_useful_detected_structure,competition_main,B_kissat,54577.649707,TIMEOUT,True,60.0
5.0,aim-200-3_4-yes1-1.cnf,resource_allocation_like,crafted_structured,A_cadical,67.191477,SATISFIABLE,False,60.0
5.0,aim-200-3_4-yes1-1.cnf,resource_allocation_like,crafted_structured,B_kissat,34.055222,SATISFIABLE,False,60.0
5.0,g2-ak128boothbg2msisc.cnf,no_useful_detected_structure,competition_main,A_cadical,4329.523119,SATISFIABLE,False,60.0
5.0,g2-ak128boothbg2msisc.cnf,no_useful_detected_structure,competition_main,B_kissat,418.527158,SATISFIABLE,False,60.0
5.0,uf250-016.cnf,resource_allocation_like,random_control,A_cadical,367.523859,SATISFIABLE,False,60.0
5.0,uf250-016.cnf,resource_allocation_like,random_control,B_kissat,117.074785,SATISFIABLE,False,60.0
5.0,af-synthesis_stb_50_40_9_sat.cnf,no_useful_detected_structure,competition_main,A_cadical,60053.279519,TIMEOUT,True,60.0
5.0,af-synthesis_stb_50_40_9_sat.cnf,no_useful_detected_structure,competition_main,B_kissat,60044.678306,TIMEOUT,True,60.0
5.0,uf200-050.cnf,resource_allocation_like,random_control,A_cadical,267.649343,SATISFIABLE,False,60.0
5.0,uf200-050.cnf,resource_allocation_like,random_control,B_kissat,66.209267,SATISFIABLE,False,60.0
5.0,asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.cnf,no_useful_detected_structure,competition_main,A_cadical,60022.273437,TIMEOUT,True,60.0
5.0,asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.cnf,no_useful_detected_structure,competition_main,B_kissat,60012.4414,TIMEOUT,True,60.0
5.0,ssa7552-159.cnf,resource_allocation_like,eda_circuit_fault,A_cadical,67.036315,SATISFIABLE,False,60.0
5.0,ssa7552-159.cnf,resource_allocation_like,eda_circuit_fault,B_kissat,18.278627,SATISFIABLE,False,60.0
5.0,atco_enc1_opt1_10_15.cnf,no_useful_detected_structure,competition_main,A_cadical,52023.340678,TIMEOUT,True,60.0
5.0,atco_enc1_opt1_10_15.cnf,no_useful_detected_structure,competition_main,B_kissat,60052.668014,TIMEOUT,True,60.0
5.0,uf200-077.cnf,resource_allocation_like,random_control,A_cadical,117.842776,SATISFIABLE,False,60.0
5.0,uf200-077.cnf,resource_allocation_like,random_control,B_kissat,117.313985,SATISFIABLE,False,60.0
5.0,hcp_CP18_18.cnf,no_useful_detected_structure,competition_main,A_cadical,60021.375337,TIMEOUT,True,60.0
5.0,hcp_CP18_18.cnf,no_useful_detected_structure,competition_main,B_kissat,60010.214649,TIMEOUT,True,60.0
5.0,uf200-035.cnf,resource_allocation_like,random_control,A_cadical,266.756762,SATISFIABLE,False,60.0
5.0,uf200-035.cnf,resource_allocation_like,random_control,B_kissat,267.447191,SATISFIABLE,False,60.0
5.0,EDP3-11000.cnf,no_useful_detected_structure,competition_main,A_cadical,60017.781242,TIMEOUT,True,60.0
5.0,EDP3-11000.cnf,no_useful_detected_structure,competition_main,B_kissat,60023.83118,TIMEOUT,True,60.0
5.0,flat200-74.cnf,resource_allocation_like,matching_capacity,A_cadical,217.328732,SATISFIABLE,False,60.0
5.0,flat200-74.cnf,resource_allocation_like,matching_capacity,B_kissat,116.915933,SATISFIABLE,False,60.0
5.0,j3037_1_gmto_b.cnf,no_useful_detected_structure,competition_main,A_cadical,48960.412865,TIMEOUT,True,60.0
5.0,j3037_1_gmto_b.cnf,no_useful_detected_structure,competition_main,B_kissat,39115.257323,TIMEOUT,True,60.0
5.0,flat75-12.cnf,resource_allocation_like,matching_capacity,A_cadical,66.858341,SATISFIABLE,False,60.0
5.0,flat75-12.cnf,resource_allocation_like,matching_capacity,B_kissat,34.208883,SATISFIABLE,False,60.0
5.0,af-synthesis_stb_50_140_0_unsat.cnf,no_useful_detected_structure,competition_main,A_cadical,60006.137989,TIMEOUT,True,60.0
5.0,af-synthesis_stb_50_140_0_unsat.cnf,no_useful_detected_structure,competition_main,B_kissat,60052.519666,TIMEOUT,True,60.0
5.0,uuf200-02.cnf,resource_allocation_like,random_control,A_cadical,468.129149,UNSATISFIABLE,False,60.0
5.0,uuf200-02.cnf,resource_allocation_like,random_control,B_kissat,367.679862,UNSATISFIABLE,False,60.0
5.0,dubois100.cnf,no_useful_detected_structure,crafted_parity,A_cadical,66.561206,SATISFIABLE,False,60.0
5.0,dubois100.cnf,no_useful_detected_structure,crafted_parity,B_kissat,18.117247,SATISFIABLE,False,60.0
5.0,huge.cnf,resource_allocation_like,planning_scheduling,A_cadical,117.08787,SATISFIABLE,False,60.0
5.0,huge.cnf,resource_allocation_like,planning_scheduling,B_kissat,66.041251,SATISFIABLE,False,60.0
5.0,par32-4.cnf,no_useful_detected_structure,crafted_parity,A_cadical,60046.218709,TIMEOUT,True,60.0
5.0,par32-4.cnf,no_useful_detected_structure,crafted_parity,B_kissat,60045.237909,TIMEOUT,True,60.0
5.0,flat200-70.cnf,resource_allocation_like,matching_capacity,A_cadical,66.565375,SATISFIABLE,False,60.0
5.0,flat200-70.cnf,resource_allocation_like,matching_capacity,B_kissat,66.674638,SATISFIABLE,False,60.0
5.0,asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c.cnf,no_useful_detected_structure,competition_main,A_cadical,60018.817255,TIMEOUT,True,60.0
5.0,asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c.cnf,no_useful_detected_structure,competition_main,B_kissat,60020.606017,TIMEOUT,True,60.0
5.0,uf200-071.cnf,resource_allocation_like,random_control,A_cadical,116.167553,SATISFIABLE,False,60.0
5.0,uf200-071.cnf,resource_allocation_like,random_control,B_kissat,65.94044,SATISFIABLE,False,60.0
5.0,circuit_48in64out_with_800gates_4in4out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,22252.339619,TIMEOUT,True,60.0
5.0,circuit_48in64out_with_800gates_4in4out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,23706.836743,TIMEOUT,True,60.0
5.0,aim-50-1_6-no-3.cnf,resource_allocation_like,crafted_structured,A_cadical,67.434319,UNSATISFIABLE,False,60.0
5.0,aim-50-1_6-no-3.cnf,resource_allocation_like,crafted_structured,B_kissat,18.494224,UNSATISFIABLE,False,60.0
5.0,ER_500_30_3.apx_2_DC-AD.cnf,no_useful_detected_structure,competition_main,A_cadical,60047.55858,TIMEOUT,True,60.0
5.0,ER_500_30_3.apx_2_DC-AD.cnf,no_useful_detected_structure,competition_main,B_kissat,60041.456054,TIMEOUT,True,60.0
5.0,flat100-6.cnf,resource_allocation_like,matching_capacity,A_cadical,66.611696,SATISFIABLE,False,60.0
5.0,flat100-6.cnf,resource_allocation_like,matching_capacity,B_kissat,17.682111,SATISFIABLE,False,60.0
5.0,circuit_32in32out_with_96gates_7in7out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60048.00372,TIMEOUT,True,60.0
5.0,circuit_32in32out_with_96gates_7in7out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60012.538007,TIMEOUT,True,60.0
5.0,flat100-71.cnf,resource_allocation_like,matching_capacity,A_cadical,66.965684,SATISFIABLE,False,60.0
5.0,flat100-71.cnf,resource_allocation_like,matching_capacity,B_kissat,35.040192,SATISFIABLE,False,60.0
5.0,g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf,no_useful_detected_structure,competition_main,A_cadical,60031.008771,TIMEOUT,True,60.0
5.0,g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf,no_useful_detected_structure,competition_main,B_kissat,60016.366362,TIMEOUT,True,60.0
5.0,flat200-42.cnf,resource_allocation_like,matching_capacity,A_cadical,116.935776,SATISFIABLE,False,60.0
5.0,flat200-42.cnf,resource_allocation_like,matching_capacity,B_kissat,66.765494,SATISFIABLE,False,60.0
5.0,ER_400_20_4.apx_1_DC-AD.cnf,no_useful_detected_structure,competition_main,A_cadical,60048.26311,TIMEOUT,True,60.0
5.0,ER_400_20_4.apx_1_DC-AD.cnf,no_useful_detected_structure,competition_main,B_kissat,60052.387419,TIMEOUT,True,60.0
5.0,uf200-091.cnf,resource_allocation_like,random_control,A_cadical,167.044332,SATISFIABLE,False,60.0
5.0,uf200-091.cnf,resource_allocation_like,random_control,B_kissat,66.50625,SATISFIABLE,False,60.0
5.0,pb_300_05_lb_17.cnf,no_useful_detected_structure,competition_main,A_cadical,60027.003313,TIMEOUT,True,60.0
